#     eta      Y_0    Y_1/2  Omega_1 -Theta_1   Y_{a4}  -Y_{a5}   Y_{a6}  Omega_3 -Theta_3  Omega_5 -Theta_5 intY_1/2
0 0.345165 0.445148 0.516409 0.737828 0.29612 0.355505 1.20249 0.0796453 0.0761038 0.556439 1.64676 0.47816
0.000144632 0.344544 0.444806 0.515683 0.73688 0.295962 0.355613 1.20148 0.0795783 0.0760098 0.555544 1.64463 0.478095
0.00227304 0.338723 0.44139 0.508883 0.727888 0.294318 0.356667 1.19145 0.0789307 0.0751281 0.546901 1.62365 0.477153
0.0114077 0.322285 0.43093 0.489646 0.702057 0.289043 0.359756 1.16124 0.0770194 0.0726285 0.52157 1.56105 0.473171
0.0355538 0.293397 0.410632 0.455605 0.655549 0.278267 0.365255 1.1036 0.0734439 0.0681874 0.474934 1.44353 0.463023
0.0849225 0.254231 0.379695 0.408771 0.590353 0.260946 0.372272 1.01721 0.0681704 0.0620279 0.408232 1.27205 0.443551
0.170678 0.209511 0.339369 0.353932 0.512519 0.237158 0.378454 0.906328 0.0614676 0.0547091 0.327576 1.06047 0.412802
0.303362 0.164539 0.292555 0.296641 0.429657 0.208155 0.380323 0.779227 0.0538031 0.0468874 0.241695 0.830721 0.371029
0.491339 0.123626 0.24308 0.241677 0.348829 0.176121 0.374267 0.64621 0.0457337 0.0391505 0.159332 0.606413 0.320917
0.73965 0.0893293 0.194837 0.192277 0.275279 0.143654 0.357836 0.517391 0.0378044 0.0319406 0.0872394 0.407024 0.266857
1.04956 0.0624495 0.15099 0.150055 0.212024 0.113147 0.330737 0.400824 0.030461 0.0255355 0.0292482 0.244406 0.213638
1.41884 0.0425074 0.113512 0.11533 0.16007 0.0863256 0.294953 0.301434 0.0240005 0.0200654 -0.0136015 0.122219 0.165194
1.8426 0.0283447 0.0831236 0.0875952 0.118953 0.064053 0.253998 0.220925 0.0185573 0.0155426 -0.0423471 0.0376638 0.123912
2.31437 0.0186198 0.0595489 0.065926 0.0873499 0.046424 0.211762 0.158464 0.0141338 0.0119011 -0.0592179 -0.0157759 0.0905981
2.82715 0.0121065 0.0419078 0.0492738 0.0635987 0.0330071 0.171542 0.111688 0.0106395 0.00903014 -0.0669015 -0.0458083 0.0648712
3.37419 0.00782037 0.0290799 0.0366341 0.0460402 0.0231102 0.135548 0.0776314 0.00794028 0.00680375 -0.0680157 -0.0596114 0.045681
3.94956 0.00503255 0.019957 0.0271269 0.0332087 0.0159856 0.104863 0.0533722 0.00588835 0.00509835 -0.0648231 -0.0630125 0.0317465
4.54834 0.00323223 0.0135778 0.0200233 0.0239026 0.0109516 0.0796826 0.0363788 0.00434723 0.00380416 -0.0591058 -0.0603042 0.0218337
5.16678 0.00207413 0.00917349 0.0147407 0.0171842 0.00744468 0.0596309 0.0246239 0.00319867 0.00282848 -0.0521715 -0.0544216 0.0148904
5.80214 0.00133043 0.00616161 0.0108257 0.0123458 0.00502775 0.0440391 0.0165696 0.00234758 0.00209656 -0.0449119 -0.047242 0.0100838
