#  Kn        topT         topU     bottomT     bottomU
0.005 5.18353e-01 -1.04419e-01 4.98543e-01 1.78585e-01
0.010 5.14969e-01 -9.35884e-02 4.97149e-01 1.59378e-01
0.020 5.10267e-01 -7.74466e-02 4.94811e-01 1.28060e-01
0.030 5.07661e-01 -6.45943e-02 4.93069e-01 1.03675e-01
0.040 5.06042e-01 -5.38272e-02 4.91806e-01 8.56137e-02
0.050 5.05105e-01 -4.49455e-02 4.90939e-01 7.09299e-02
0.060 5.04469e-01 -3.79460e-02 4.90325e-01 5.98544e-02
0.070 5.03959e-01 -3.19334e-02 4.89903e-01 5.07563e-02
0.080 5.03542e-01 -2.73354e-02 4.89601e-01 4.35952e-02
0.090 5.03105e-01 -2.34293e-02 4.89390e-01 3.77492e-02
0.100 5.02607e-01 -2.02232e-02 4.89244e-01 3.29638e-02
0.110 5.02193e-01 -1.76198e-02 4.89129e-01 2.90151e-02
0.120 5.01720e-01 -1.55159e-02 4.89051e-01 2.55969e-02
0.130 5.01277e-01 -1.36832e-02 4.88970e-01 2.27888e-02
