#           x    enthalpy diffusivity temperature    porosity liquid_fraction 
-5.00000e+00 -3.04396e-07 +1.00001e+00 +7.21734e-07 +3.99982e-01 +1.28347e-05
-4.84375e+00 +9.64915e-03 +1.00730e+00 +9.62389e-03 +3.99982e-01 +1.38082e-05
-4.68750e+00 +1.92356e-02 +1.01443e+00 +1.91328e-02 +3.99982e-01 +1.48485e-05
-4.53125e+00 +2.87676e-02 +1.02140e+00 +2.85377e-02 +3.99982e-01 +1.59605e-05
-4.37500e+00 +3.82538e-02 +1.02823e+00 +3.78485e-02 +3.99982e-01 +1.71498e-05
-4.21875e+00 +4.77029e-02 +1.03493e+00 +4.70753e-02 +3.99982e-01 +1.84226e-05
-4.06250e+00 +5.71241e-02 +1.04152e+00 +5.62284e-02 +3.99977e-01 +1.97856e-05
-3.90625e+00 +6.65268e-02 +1.04800e+00 +6.53178e-02 +3.99971e-01 +2.12466e-05
-3.75000e+00 +7.59210e-02 +1.05439e+00 +7.43539e-02 +3.99963e-01 +2.28139e-05
-3.59375e+00 +8.53168e-02 +1.06068e+00 +8.33475e-02 +3.99952e-01 +2.44971e-05
-3.43750e+00 +9.47253e-02 +1.06690e+00 +9.23095e-02 +3.99938e-01 +2.63071e-05
-3.28125e+00 +1.04158e-01 +1.07305e+00 +1.01252e-01 +3.99918e-01 +2.82560e-05
-3.12500e+00 +1.13628e-01 +1.07916e+00 +1.10186e-01 +3.99892e-01 +3.03578e-05
-2.96875e+00 +1.23149e-01 +1.08523e+00 +1.19125e-01 +3.99855e-01 +3.26284e-05
-2.81250e+00 +1.32734e-01 +1.09128e+00 +1.28082e-01 +3.99803e-01 +3.50861e-05
-2.65625e+00 +1.42405e-01 +1.09734e+00 +1.37076e-01 +3.99727e-01 +3.77534e-05
-2.50000e+00 +1.52175e-01 +1.10346e+00 +1.46120e-01 +3.99612e-01 +4.06540e-05
-2.34375e+00 +1.62081e-01 +1.10970e+00 +1.55246e-01 +3.99428e-01 +4.38224e-05
-2.18750e+00 +1.72134e-01 +1.11619e+00 +1.64463e-01 +3.99115e-01 +4.72907e-05
-2.03125e+00 +1.82414e-01 +1.12324e+00 +1.73842e-01 +3.98525e-01 +5.11208e-05
-1.87500e+00 +1.92898e-01 +1.13172e+00 +1.83362e-01 +3.97200e-01 +5.53468e-05
-1.79688e+00 +1.98289e-01 +1.13745e+00 +1.88239e-01 +3.95777e-01 +5.76544e-05
-1.71875e+00 +2.03711e-01 +1.14577e+00 +1.93131e-01 +3.92985e-01 +6.00718e-05
-1.67969e+00 +2.06490e-01 +1.15186e+00 +1.95634e-01 +3.90594e-01 +6.13499e-05
-1.64062e+00 +2.09254e-01 +1.16034e+00 +1.98120e-01 +3.86932e-01 +6.26482e-05
-1.60156e+00 +2.12076e-01 +1.17149e+00 +2.00656e-01 +3.81892e-01 +6.40023e-05
-1.56250e+00 +2.14873e-01 +1.19136e+00 +2.03165e-01 +3.72253e-01 +6.53728e-05
-1.52344e+00 +2.17711e-01 +1.22018e+00 +2.05708e-01 +3.57946e-01 +6.67939e-05
-1.48438e+00 +2.20484e-01 +1.27610e+00 +2.08190e-01 +3.29408e-01 +6.82120e-05
-1.46484e+00 +2.21867e-01 +1.32095e+00 +2.09426e-01 +3.06300e-01 +6.89299e-05
-1.44531e+00 +2.23198e-01 +1.40113e+00 +2.10615e-01 +2.64657e-01 +6.96287e-05
-1.42578e+00 +2.24471e-01 +1.52656e+00 +2.11752e-01 +1.99312e-01 +7.03038e-05
-1.40625e+00 +2.25637e-01 +1.65924e+00 +2.12793e-01 +1.30197e-01 +7.09275e-05
-1.36719e+00 +2.27805e-01 +1.77731e+00 +2.14726e-01 +6.92588e-02 +7.21020e-05
-1.32812e+00 +2.29867e-01 +1.83144e+00 +2.16564e-01 +4.18375e-02 +7.32373e-05
-1.28906e+00 +2.31869e-01 +1.86264e+00 +2.18345e-01 +2.64250e-02 +7.43564e-05
-1.25000e+00 +2.33858e-01 +1.88190e+00 +2.20114e-01 +1.72694e-02 +7.54851e-05
