#Kn p_xy M Q
0.01 -0.0111587 0.255218 3.08107e-05
0.01585 -0.017414 0.258407 6.37811e-05
0.02512 -0.0271019 0.263086 0.000172696
0.03981 -0.0415282 0.269897 0.000409391
0.0631 -0.0628299 0.279614 0.000934176
0.1 -0.0930734 0.293025 0.00213298
0.1585 -0.133464 0.309733 0.00369779
0.2512 -0.182848 0.329357 0.00651932
0.3981 -0.239882 0.350169 0.00922351
0.631 -0.299519 0.371018 0.0114371
1 -0.356741 0.390683 0.0128524
1.585 -0.407647 0.408723 0.0129219
2.512 -0.450088 0.425726 0.00910986
3.981 -0.483715 0.441586 0.00662864
6.31 -0.509301 0.456097 0.00415799
10 -0.528048 0.46845 0.00234036
15.85 -0.541317 0.478179 0.00123163
25.12 -0.550418 0.485344 0.000628655
39.81 -0.556503 0.490361 0.000320166
63.1 -0.560497 0.493752 0.000165661
100 -0.563082 0.495987 8.77507e-05
#1000 -0.56763 0.5 -4.2034e-06
