#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P
3.16228e-03 -1.76763e-03 1.24123e-01 -1.24041e-06 4.38799e-05 1.40134e-02 1.40118e-02 1.40123e-02 2.25927e-03 2.25919e-03
3.98107e-03 -2.22130e-03 1.23900e-01 -1.96210e-06 5.50425e-05 1.76421e-02 1.76396e-02 1.76403e-02 2.27365e-03 2.27363e-03
5.01187e-03 -2.79012e-03 1.23621e-01 -3.10216e-06 6.89809e-05 2.22106e-02 2.22066e-02 2.22077e-02 2.29155e-03 2.29163e-03
6.30957e-03 -3.50257e-03 1.23272e-01 -4.90154e-06 8.63488e-05 2.79622e-02 2.79559e-02 2.79576e-02 2.31379e-03 2.31402e-03
7.94328e-03 -4.39375e-03 1.22835e-01 -7.73869e-06 1.07933e-04 3.52035e-02 3.51935e-02 3.51963e-02 2.34130e-03 2.34178e-03
1.00000e-02 -5.50670e-03 1.22292e-01 -1.22062e-05 1.34668e-04 4.43203e-02 4.43047e-02 4.43090e-02 2.37519e-03 2.37606e-03
1.25893e-02 -6.89377e-03 1.21618e-01 -1.92300e-05 1.67645e-04 5.57989e-02 5.57745e-02 5.57813e-02 2.41671e-03 2.41816e-03
1.58489e-02 -8.61801e-03 1.20782e-01 -3.02486e-05 2.08110e-04 7.02505e-02 7.02123e-02 7.02229e-02 2.46719e-03 2.46956e-03
1.99526e-02 -1.07548e-02 1.19751e-01 -4.74929e-05 2.57441e-04 8.84468e-02 8.83874e-02 8.84039e-02 2.52802e-03 2.53182e-03
2.51189e-02 -1.33924e-02 1.18486e-01 -7.43985e-05 3.17093e-04 1.11358e-01 1.11266e-01 1.11292e-01 2.60045e-03 2.60645e-03
3.16228e-02 -1.66324e-02 1.16944e-01 -1.16211e-04 3.88491e-04 1.40206e-01 1.40065e-01 1.40104e-01 2.68544e-03 2.69479e-03
3.98107e-02 -2.05892e-02 1.15079e-01 -1.80847e-04 4.72871e-04 1.76531e-01 1.76313e-01 1.76374e-01 2.78325e-03 2.79766e-03
5.01187e-02 -2.53862e-02 1.12847e-01 -2.79948e-04 5.71029e-04 2.22273e-01 2.21941e-01 2.22034e-01 2.89303e-03 2.91502e-03
6.30957e-02 -3.11515e-02 1.10209e-01 -4.29755e-04 6.82988e-04 2.79872e-01 2.79373e-01 2.79512e-01 3.01219e-03 3.04538e-03
7.94328e-02 -3.80077e-02 1.07135e-01 -6.50599e-04 8.07595e-04 3.52404e-01 3.51661e-01 3.51868e-01 3.13579e-03 3.18521e-03
1.00000e-01 -4.60601e-02 1.03615e-01 -9.63520e-04 9.42095e-04 4.43739e-01 4.42649e-01 4.42952e-01 3.25591e-03 3.32839e-03
1.25893e-01 -5.53799e-02 9.96575e-02 -1.38326e-03 1.08179e-03 5.58753e-01 5.57177e-01 5.57616e-01 3.36158e-03 3.46570e-03
1.58489e-01 -6.59844e-02 9.52969e-02 -1.91107e-03 1.21989e-03 7.03570e-01 7.01332e-01 7.01955e-01 3.43918e-03 3.58502e-03
1.99526e-01 -7.78215e-02 9.05825e-02 -2.52734e-03 1.34782e-03 8.85913e-01 8.82800e-01 8.83667e-01 3.47400e-03 3.67207e-03
2.51189e-01 -9.07529e-02 8.55768e-02 -3.19186e-03 1.45597e-03 1.11548e+00 1.11124e+00 1.11243e+00 3.45274e-03 3.71228e-03
3.16228e-01 -1.04552e-01 8.03467e-02 -3.84889e-03 1.53496e-03 1.40447e+00 1.39885e+00 1.40042e+00 3.36594e-03 3.69307e-03
