#        Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz           T
3.16228e-03 -3.83689e-03 1.21759e-01 -2.31520e-05 9.34339e-04 7.21571e-04 6.83286e-04 6.94434e-04 2.95921e-01
3.98107e-03 -4.82353e-03 1.21534e-01 -3.64693e-05 1.17242e-03 9.15081e-04 8.54678e-04 8.72263e-04 2.96226e-01
5.01187e-03 -6.06166e-03 1.21253e-01 -5.73572e-05 1.46993e-03 1.16249e-03 1.06731e-03 1.09501e-03 2.96604e-01
6.30957e-03 -7.61409e-03 1.20901e-01 -9.00330e-05 1.84100e-03 1.47989e-03 1.33009e-03 1.37369e-03 2.97073e-01
7.94328e-03 -9.55855e-03 1.20463e-01 -1.40981e-04 2.30268e-03 1.88863e-03 1.65333e-03 1.72179e-03 2.97653e-01
1.00000e-02 -1.19908e-02 1.19917e-01 -2.20091e-04 2.87538e-03 2.41736e-03 2.04857e-03 2.15582e-03 2.98364e-01
1.25893e-02 -1.50282e-02 1.19240e-01 -3.42306e-04 3.58307e-03 3.10464e-03 2.52825e-03 2.69580e-03 2.99233e-01
1.58489e-02 -1.88131e-02 1.18402e-01 -5.29912e-04 4.45336e-03 4.00271e-03 3.10494e-03 3.36577e-03 3.00286e-01
1.99526e-02 -2.35172e-02 1.17372e-01 -8.15668e-04 5.51722e-03 5.18266e-03 3.79020e-03 4.19448e-03 3.01547e-01
2.51189e-02 -2.93441e-02 1.16110e-01 -1.24676e-03 6.80787e-03 6.74118e-03 4.59256e-03 5.21585e-03 3.03041e-01
3.16228e-02 -3.65310e-02 1.14577e-01 -1.88950e-03 8.35879e-03 8.80947e-03 5.51491e-03 6.46966e-03 3.04780e-01
3.98107e-02 -4.53487e-02 1.12730e-01 -2.83423e-03 1.02003e-02 1.15646e-02 6.55121e-03 8.00230e-03 3.06764e-01
5.01187e-02 -5.60954e-02 1.10528e-01 -4.19897e-03 1.23544e-02 1.52428e-02 7.68292e-03 9.86789e-03 3.08967e-01
6.30957e-02 -6.90850e-02 1.07937e-01 -6.12934e-03 1.48272e-02 2.01542e-02 8.87642e-03 1.21303e-02 3.11327e-01
7.94328e-02 -8.46252e-02 1.04934e-01 -8.79030e-03 1.75995e-02 2.66966e-02 1.00833e-02 1.48670e-02 3.13735e-01
1.00000e-01 -1.02984e-01 1.01514e-01 -1.23449e-02 2.06161e-02 3.53662e-02 1.12470e-02 1.81760e-02 3.16026e-01
1.25893e-01 -1.24343e-01 9.76904e-02 -1.69169e-02 2.37768e-02 4.67614e-02 1.23190e-02 2.21889e-02 3.17981e-01
1.58489e-01 -1.48741e-01 9.34973e-02 -2.25412e-02 2.69299e-02 6.15744e-02 1.32903e-02 2.70916e-02 3.19336e-01
1.99526e-01 -1.76015e-01 8.89818e-02 -2.91113e-02 2.98769e-02 8.05753e-02 1.42407e-02 3.31581e-02 3.19817e-01
2.51189e-01 -2.05755e-01 8.41980e-02 -3.63407e-02 3.23876e-02 1.04580e-01 1.54047e-02 4.07955e-02 3.19183e-01
3.16228e-01 -2.37281e-01 7.92008e-02 -4.37588e-02 3.42301e-02 1.34413e-01 1.72526e-02 5.05931e-02 3.17274e-01
