#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz           T            H |         fit_errors
1.000000e-02 -1.20139e-02 1.20402e-01 -1.87709e-04 2.87208e-03 2.96300e-01 2.96023e-01 2.96081e-01 2.97338e-01 -1.38037e+00 | 1.27e-05 8.62e-07 3.91e-06
1.467799e-02 -1.74874e-02 1.19372e-01 -3.87037e-04 4.15134e-03 2.98243e-01 2.97576e-01 2.97757e-01 2.99031e-01 -1.38143e+00 | 1.88e-05 2.19e-06 2.80e-06
2.154435e-02 -2.53843e-02 1.17904e-01 -8.04627e-04 5.97595e-03 3.01092e-01 2.99694e-01 3.00090e-01 3.01425e-01 -1.38290e+00 | 2.69e-05 2.41e-06 3.23e-06
3.162278e-02 -3.66171e-02 1.15885e-01 -1.63408e-03 8.52467e-03 3.05344e-01 3.02471e-01 3.03277e-01 3.04782e-01 -1.38488e+00 | 3.23e-05 1.09e-06 5.16e-06
4.641589e-02 -5.23528e-02 1.13179e-01 -3.20757e-03 1.19358e-02 3.11524e-01 3.05715e-01 3.07364e-01 3.09220e-01 -1.38742e+00 | 4.20e-05 1.44e-06 5.22e-06
6.812921e-02 -7.36828e-02 1.09670e-01 -6.00178e-03 1.62328e-02 3.20399e-01 3.09164e-01 3.12260e-01 3.14877e-01 -1.39046e+00 | 5.22e-05 1.58e-06 8.05e-06
1.000000e-01 -1.01795e-01 1.05297e-01 -1.06209e-02 2.14382e-02 3.33371e-01 3.12600e-01 3.18065e-01 3.22191e-01 -1.39405e+00 | 3.73e-05 1.59e-06 4.15e-06
1.467799e-01 -1.36916e-01 1.00072e-01 -1.76299e-02 2.73967e-02 3.51958e-01 3.15346e-01 3.24509e-01 3.31348e-01 -1.39807e+00 | 5.25e-05 4.17e-06 5.86e-06
2.154435e-01 -1.78508e-01 9.39680e-02 -2.70903e-02 3.35480e-02 3.76999e-01 3.16427e-01 3.30550e-01 3.41949e-01 -1.40200e+00 | 7.02e-05 6.28e-06 6.86e-06
3.162278e-01 -2.25154e-01 8.70195e-02 -3.82738e-02 3.91881e-02 4.08580e-01 3.15276e-01 3.34926e-01 3.53418e-01 -1.40514e+00 | 4.04e-05 6.98e-06 1.04e-05
4.641589e-01 -2.74337e-01 7.93343e-02 -4.96636e-02 4.35217e-02 4.45746e-01 3.11745e-01 3.36492e-01 3.65018e-01 -1.40686e+00 | 5.89e-05 8.08e-06 1.41e-05
6.812921e-01 -3.23308e-01 7.11282e-02 -5.93271e-02 4.59867e-02 4.86244e-01 3.06147e-01 3.34699e-01 3.75936e-01 -1.40675e+00 | 4.82e-05 8.12e-06 1.15e-05
1.000000e+00 -3.70353e-01 6.26174e-02 -6.56898e-02 4.63877e-02 5.28036e-01 2.99514e-01 3.29143e-01 3.85714e-01 -1.40444e+00 | 6.01e-05 9.53e-06 1.22e-05
1.467799e+00 -4.13103e-01 5.41106e-02 -6.78855e-02 4.47062e-02 5.68110e-01 2.92206e-01 3.21260e-01 3.93946e-01 -1.40043e+00 | 5.77e-05 7.46e-06 1.85e-05
2.154435e+00 -4.50095e-01 4.59114e-02 -6.59775e-02 4.13296e-02 6.04314e-01 2.85144e-01 3.11789e-01 4.00464e-01 -1.39505e+00 | 5.23e-05 8.53e-06 1.88e-05
3.162278e+00 -4.80770e-01 3.82637e-02 -6.09667e-02 3.67893e-02 6.35869e-01 2.78586e-01 3.01858e-01 4.05463e-01 -1.38897e+00 | 3.28e-05 6.63e-06 1.54e-05
4.641589e+00 -5.04701e-01 3.13825e-02 -5.39412e-02 3.16780e-02 6.61853e-01 2.72753e-01 2.92304e-01 4.08983e-01 -1.38285e+00 | 3.68e-05 3.52e-06 7.84e-06
6.812921e+00 -5.22950e-01 2.53334e-02 -4.60498e-02 2.64927e-02 6.83065e-01 2.67838e-01 2.83578e-01 4.11500e-01 -1.37698e+00 | 2.76e-05 6.37e-06 1.95e-05
1.000000e+01 -5.36393e-01 2.01582e-02 -3.82191e-02 2.16170e-02 6.99696e-01 2.63705e-01 2.76248e-01 4.13219e-01 -1.37165e+00 | 5.75e-05 8.27e-06 1.81e-05
1.467799e+01 -5.45742e-01 1.58477e-02 -3.09772e-02 1.72970e-02 7.12377e-01 2.60440e-01 2.70153e-01 4.14324e-01 -1.36717e+00 | 3.80e-05 9.26e-06 2.13e-05
2.154435e+01 -5.52214e-01 1.23343e-02 -2.46272e-02 1.36205e-02 7.21996e-01 2.57859e-01 2.65267e-01 4.15041e-01 -1.36339e+00 | 3.05e-05 6.19e-06 1.45e-05
3.162278e+01 -5.56651e-01 9.53550e-03 -1.93708e-02 1.06170e-02 7.29245e-01 2.55928e-01 2.61517e-01 4.15564e-01 -1.36029e+00 | 2.04e-05 3.91e-06 1.03e-05
4.641589e+01 -5.59598e-01 7.25868e-03 -1.49195e-02 8.12303e-03 7.34792e-01 2.54402e-01 2.58555e-01 4.15917e-01 -1.35775e+00 | 1.31e-05 3.59e-06 9.82e-06
6.812921e+01 -5.61501e-01 5.50372e-03 -1.14301e-02 6.17954e-03 7.38835e-01 2.53282e-01 2.56343e-01 4.16153e-01 -1.35577e+00 | 1.47e-05 3.75e-06 1.04e-05
1.000000e+02 -5.62703e-01 4.13741e-03 -8.66619e-03 4.65397e-03 7.41859e-01 2.52405e-01 2.54615e-01 4.16293e-01 -1.35421e+00 | 1.23e-05 2.64e-06 6.23e-06
