#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau            H |         fit_errors
1.000000e-02 -8.05266e-03 1.15296e-01 -1.09182e-03 9.27991e-03 1.10625e-01 1.09777e-01 1.10053e-01 1.22072e-01 -7.82191e-01 | 4.64e-04 7.65e-06 2.16e-03
1.467799e-02 -1.17727e-02 1.1471e-01 -2.27894e-03 1.35202e-02 1.14367e-01 1.12573e-01 1.13167e-01 1.2490e-01 -7.83971e-01 | 4.85e-04 1.55e-05 1.60e-03
2.154435e-02 -1.72066e-02 1.13910e-01 -4.75660e-03 1.96781e-02 1.20386e-01 1.16596e-01 1.17841e-01 1.29004e-01 -8.50847e-01 | 4.19e-04 2.35e-05 1.37e-03
3.162278e-02 -2.49074e-02 1.12777e-01 -9.57921e-03 2.82149e-02 1.29462e-01 1.21759e-01 1.24240e-01 1.35371e-01 -8.54099e-01 | 2.91e-04 2.89e-05 8.59e-04
4.641589e-02 -3.55840e-02 1.11313e-01 -1.85865e-02 3.97440e-02 1.43074e-01 1.28011e-01 1.32638e-01 1.44447e-01 -8.58113e-01 | 2.20e-04 1.21e-05 4.35e-04
6.812921e-02 -4.98730e-02 1.09726e-01 -3.45108e-02 5.47931e-02 1.62874e-01 1.34207e-01 1.42722e-01 1.56294e-01 -8.62558e-01 | 1.71e-04 1.03e-05 2.24e-04
1.000000e-01 -6.79834e-02 1.08115e-01 -6.07012e-02 7.35311e-02 1.91712e-01 1.39796e-01 1.54548e-01 1.71539e-01 -8.67318e-01 | 2.18e-04 1.26e-05 3.29e-04
1.467799e-01 -8.95399e-02 1.06556e-01 -1.00612e-01 9.54181e-02 2.32100e-01 1.43274e-01 1.67103e-01 1.89931e-01 -8.71850e-01 | 2.39e-04 2.97e-05 3.62e-04
2.154435e-01 -1.13467e-01 1.04815e-01 -1.56311e-01 1.18914e-01 2.85968e-01 1.43525e-01 1.78750e-01 2.11244e-01 -8.75492e-01 | 1.99e-04 5.91e-05 2.17e-04
3.162278e-01 -1.38353e-01 1.02394e-01 -2.27870e-01 1.41656e-01 3.54664e-01 1.39638e-01 1.87887e-01 2.34975e-01 -8.77512e-01 | 2.46e-04 8.21e-05 2.88e-04
4.641589e-01 -1.62938e-01 9.86621e-02 -3.11304e-01 1.60760e-01 4.38308e-01 1.31880e-01 1.92446e-01 2.60549e-01 -8.77273e-01 | 3.15e-04 1.33e-04 2.28e-04
6.812921e-01 -1.86290e-01 9.30630e-02 -3.95687e-01 1.73376e-01 5.34276e-01 1.20783e-01 1.91078e-01 2.86895e-01 -8.74498e-01 | 2.80e-04 1.97e-04 1.87e-04
1.000000e+00 -2.08391e-01 8.55105e-02 -4.69573e-01 1.78153e-01 6.40368e-01 1.06905e-01 1.82677e-01 3.13345e-01 -8.68436e-01 | 3.09e-04 2.67e-04 1.77e-04
1.467799e+00 -2.28211e-01 7.62863e-02 -5.17681e-01 1.74108e-01 7.49244e-01 9.12337e-02 1.67833e-01 3.38205e-01 -8.59713e-01 | 3.11e-04 3.15e-04 2.07e-04
2.154435e+00 -2.45205e-01 6.62378e-02 -5.30706e-01 1.62410e-01 8.51842e-01 7.54296e-02 1.48039e-01 3.59640e-01 -8.49083e-01 | 2.85e-04 3.55e-04 2.69e-04
3.162278e+00 -2.59192e-01 5.60060e-02 -5.10215e-01 1.45148e-01 9.43141e-01 6.05976e-02 1.26008e-01 3.77218e-01 -8.37742e-01 | 2.81e-04 4.87e-04 4.08e-04
4.641589e+00 -2.70168e-01 4.61328e-02 -4.62658e-01 1.24654e-01 1.02019e+00 4.73202e-02 1.03411e-01 3.90621e-01 -8.26032e-01 | 2.47e-04 6.42e-04 5.92e-04
6.812921e+00 -2.77698e-01 3.73215e-02 -4.00865e-01 1.03649e-01 1.08110e+00 3.60146e-02 8.25858e-02 4.00050e-01 -8.15558e-01 | 2.39e-04 6.94e-04 6.76e-04
1.000000e+01 -2.82513e-01 2.94362e-02 -3.32626e-01 8.31572e-02 1.12900e+00 2.66765e-02 6.38823e-02 4.06583e-01 -8.06081e-01 | 2.89e-04 1.44e-03 1.30e-03
1.467799e+01 -2.85122e-01 2.31671e-02 -2.70383e-01 6.60644e-02 1.16233e+00 1.98412e-02 4.91094e-02 4.10457e-01 -7.99007e-01 | 1.93e-04 9.28e-04 8.43e-04
2.154435e+01 -2.86431e-01 1.80642e-02 -2.15682e-01 5.17342e-02 1.18656e+00 1.48149e-02 3.72806e-02 4.12898e-01 -7.93300e-01 | 9.78e-05 1.31e-03 1.20e-03
3.162278e+01 -2.86611e-01 1.39316e-02 -1.69019e-01 3.99402e-02 1.20435e+00 1.08756e-02 2.79733e-02 4.14405e-01 -7.88900e-01 | 1.16e-04 1.22e-03 1.15e-03
4.641589e+01 -2.86567e-01 1.04675e-02 -1.28631e-01 2.99998e-02 1.21824e+00 7.64241e-03 2.03156e-02 4.15401e-01 -7.84913e-01 | 9.46e-05 1.63e-03 1.63e-03
6.812921e+01 -2.86086e-01 7.98705e-03 -9.88759e-02 2.28542e-02 1.22712e+00 5.67830e-03 1.50184e-02 4.15941e-01 -7.82401e-01 | 7.34e-05 1.65e-03 1.55e-03
#1.000000e+02 -2.85516e-01 5.85998e-03 -7.30334e-02 1.67318e-02 1.23424e+00 3.97047e-03 1.05108e-02 4.16240e-01 -7.80102e-01 | 1.01e-04 2.46e-03 2.30e-03
1.000000e+02 -2.85538e-01 5.81524e-03 -7.26489e-02 1.66078e-02 1.23449e+00 3.92607e-03 1.03576e-02 4.16260e-01 -7.17690e-01 | 6.72e-05 2.63e-03 2.45e-03
