#  Kn         Pxy          M          Qx         Qy        Pxx        Pyy        Pzz          T |         fit_errors
 0.03 -3.4686e-02 1.1614e-01 -1.4509e-03 8.1544e-03 6.0968e-01 6.0452e-01 6.0615e-01 6.0901e-01 | 1.24e-04 4.31e-05 7.59e-05 300000
 0.05 -5.5869e-02 1.1254e-01 -3.7213e-03 1.2564e-02 6.2499e-01 6.1165e-01 6.1529e-01 6.1935e-01 | 1.70e-04 4.77e-05 9.30e-05 300000
  0.1 -1.0185e-01 1.0536e-01 -1.0656e-02 2.1395e-02 6.6620e-01 6.2496e-01 6.3608e-01 6.4415e-01 | 1.87e-04 4.84e-05 1.31e-04 300000
  0.2 -1.6948e-01 9.5128e-02 -2.4989e-02 3.2162e-02 7.4206e-01 6.3250e-01 6.5869e-01 6.7914e-01 | 2.24e-04 6.26e-05 1.24e-04 250000
  0.3 -2.1731e-01 8.8231e-02 -3.6354e-02 3.8217e-02 8.0608e-01 6.3075e-01 6.6838e-01 7.0278e-01 | 3.06e-04 1.07e-04 1.79e-04 200000
  0.5 -2.8326e-01 7.7912e-02 -5.1103e-02 4.3623e-02 9.0442e-01 6.2181e-01 6.7116e-01 7.3367e-01 | 3.61e-04 1.41e-04 3.76e-04 180000
    1 -3.6968e-01 6.2502e-02 -6.4995e-02 4.6347e-02 1.0544e+00 5.9905e-01 6.5876e-01 7.7104e-01 | 3.58e-04 1.09e-04 2.53e-04 170000
    2 -4.4235e-01 4.7320e-02 -6.6025e-02 4.1893e-02 1.1938e+00 5.7323e-01 6.2737e-01 7.9831e-01 | 2.83e-04 1.01e-04 2.68e-04 150000
    3 -4.7559e-01 3.9479e-02 -6.1851e-02 3.7266e-02 1.2604e+00 5.5842e-01 6.0708e-01 8.0881e-01 | 2.56e-04 8.80e-05 2.84e-04 150000
    5 -5.0726e-01 3.0462e-02 -5.2334e-02 3.0861e-02 1.3289e+00 5.4285e-01 5.8091e-01 8.1790e-01 | 4.31e-04 1.31e-04 3.65e-04 150000
   10 -5.3564e-01 2.0319e-02 -3.8217e-02 2.1798e-02 1.3977e+00 5.2777e-01 5.5279e-01 8.2605e-01 | 2.69e-04 1.10e-04 3.02e-04 170000
   20 -5.5091e-01 1.3154e-02 -2.5892e-02 1.4348e-02 1.4396e+00 5.1692e-01 5.3303e-01 8.2988e-01 | 2.00e-04 1.00e-04 2.78e-04 180000
   30 -5.5597e-01 9.9948e-03 -1.9948e-02 1.0954e-02 1.4564e+00 5.1268e-01 5.2472e-01 8.3128e-01 | 2.22e-04 1.05e-04 2.41e-04 180000
