#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P         DU0          DT0          p0        T_B0
3.162280e-03 -1.80688e-03 1.23499e-01 -4.73686e-06 4.46295e-04 1.41069e-03 1.39396e-03 1.39910e-03 2.26722e-02 2.24905e-02 1.01443e+00 -2.66259e-01 1.04498e+00 1.00172e+00
3.981070e-03 -2.27101e-03 1.23283e-01 -7.46781e-06 5.59955e-04 1.77897e-03 1.75256e-03 1.76067e-03 2.28134e-02 2.26330e-02 1.01255e+00 -2.65297e-01 1.04527e+00 1.00215e+00
5.011870e-03 -2.85316e-03 1.23013e-01 -1.17573e-05 7.01951e-04 2.24435e-03 2.20267e-03 2.21546e-03 2.29895e-02 2.28108e-02 1.01020e+00 -2.64093e-01 1.04562e+00 1.00270e+00
6.309570e-03 -3.58266e-03 1.22674e-01 -1.84792e-05 8.78996e-04 2.83293e-03 2.76723e-03 2.78740e-03 2.32087e-02 2.30321e-02 1.00726e+00 -2.62589e-01 1.04606e+00 1.00338e+00
7.943280e-03 -4.49570e-03 1.22249e-01 -2.89823e-05 1.09919e-03 3.57812e-03 3.47473e-03 3.50647e-03 2.34808e-02 2.33068e-02 1.00357e+00 -2.60713e-01 1.04661e+00 1.00423e+00
1.000000e-02 -5.63675e-03 1.21719e-01 -4.53342e-05 1.37220e-03 4.52280e-03 4.36038e-03 4.41023e-03 2.38174e-02 2.36464e-02 9.98972e-01 -2.58379e-01 1.04729e+00 1.00528e+00
1.258930e-02 -7.06009e-03 1.21057e-01 -7.06765e-05 1.70935e-03 5.72217e-03 5.46758e-03 5.54571e-03 2.42317e-02 2.40646e-02 9.93239e-01 -2.55485e-01 1.04813e+00 1.00657e+00
1.584890e-02 -8.83129e-03 1.20234e-01 -1.09727e-04 2.12364e-03 7.24745e-03 6.84951e-03 6.97162e-03 2.47386e-02 2.45763e-02 9.86114e-01 -2.51909e-01 1.04915e+00 1.00816e+00
1.995260e-02 -1.10290e-02 1.19213e-01 -1.69481e-04 2.62960e-03 9.19112e-03 8.57125e-03 8.76143e-03 2.53545e-02 2.51979e-02 9.77286e-01 -2.47511e-01 1.05040e+00 1.01010e+00
2.511890e-02 -1.37459e-02 1.17950e-01 -2.60109e-04 3.24267e-03 1.16732e-02 1.07117e-02 1.10067e-02 2.60959e-02 2.59460e-02 9.66393e-01 -2.42133e-01 1.05189e+00 1.01245e+00
3.162280e-02 -1.70893e-02 1.16396e-01 -3.96061e-04 3.97827e-03 1.48498e-02 1.33664e-02 1.38213e-02 2.69777e-02 2.68360e-02 9.53016e-01 -2.35605e-01 1.05367e+00 1.01527e+00
3.981070e-02 -2.11803e-02 1.14496e-01 -5.97266e-04 4.85011e-03 1.89241e-02 1.66504e-02 1.73475e-02 2.80113e-02 2.78790e-02 9.36690e-01 -2.27751e-01 1.05576e+00 1.01861e+00
5.011870e-02 -2.61511e-02 1.12186e-01 -8.90117e-04 5.86757e-03 2.41603e-02 2.07024e-02 2.17622e-02 2.92001e-02 2.90785e-02 9.16909e-01 -2.18402e-01 1.05816e+00 1.02250e+00
6.309570e-02 -3.21392e-02 1.09402e-01 -1.30774e-03 7.03221e-03 3.08991e-02 2.56904e-02 2.72862e-02 3.05347e-02 3.04252e-02 8.93157e-01 -2.07421e-01 1.06085e+00 1.02695e+00
7.943280e-02 -3.92773e-02 1.06083e-01 -1.88866e-03 8.33330e-03 3.95769e-02 3.18206e-02 3.41958e-02 3.19870e-02 3.18906e-02 8.64941e-01 -1.94724e-01 1.06378e+00 1.03191e+00
1.000000e-01 -4.76790e-02 1.02172e-01 -2.67280e-03 9.74296e-03 5.07450e-02 3.93508e-02 4.28383e-02 3.35040e-02 3.34213e-02 8.31848e-01 -1.80318e-01 1.06684e+00 1.03729e+00
1.258930e-01 -5.74201e-02 9.76317e-02 -3.69374e-03 1.12120e-02 6.50882e-02 4.86134e-02 5.36531e-02 3.50026e-02 3.49340e-02 7.93613e-01 -1.64333e-01 1.06987e+00 1.04290e+00
1.584890e-01 -6.85146e-02 9.24487e-02 -4.96702e-03 1.26682e-02 8.34382e-02 6.00484e-02 6.71992e-02 3.63694e-02 3.63145e-02 7.50198e-01 -1.47047e-01 1.07263e+00 1.04845e+00
1.995260e-01 -8.08956e-02 8.66459e-02 -6.47635e-03 1.40186e-02 1.06787e-01 7.42559e-02 8.41953e-02 3.74660e-02 3.74238e-02 7.01859e-01 -1.28892e-01 1.07485e+00 1.05362e+00
2.511890e-01 -9.43971e-02 8.02894e-02 -8.16116e-03 1.51582e-02 1.36288e-01 9.20614e-02 1.05566e-01 3.81432e-02 3.81122e-02 6.49204e-01 -1.10436e-01 1.07622e+00 1.05801e+00
3.162280e-01 -1.08751e-01 7.34909e-02 -9.91229e-03 1.59845e-02 1.73271e-01 1.14600e-01 1.32504e-01 3.82629e-02 3.82412e-02 5.93195e-01 -9.23322e-02 1.07648e+00 1.06122e+00
