#         Kn           Pxy            M            Qx           Qy          Pxx          Pyy          Pzz            T          DU0           DT0          T_B
3.162280e-03 -5.121015e-03 1.155899e-01 -2.250180e-04 2.959593e-03 3.793599e-04 1.999846e-04 2.614048e-04 2.199335e-01 7.084152e+00 -9.267717e+00 1.000000e+00
3.981070e-03 -6.447100e-03 1.153851e-01 -3.530607e-04 3.719300e-03 5.086729e-04 2.266072e-04 3.231593e-04 2.208524e-01 7.056964e+00 -9.208554e+00 1.000000e+00
5.011870e-03 -8.116370e-03 1.151282e-01 -5.525696e-04 4.671725e-03 6.887919e-04 2.461174e-04 3.975869e-04 2.219913e-01 7.023111e+00 -9.135070e+00 1.000000e+00
6.309570e-03 -1.021733e-02 1.148065e-01 -8.621147e-04 5.864309e-03 9.421913e-04 2.491509e-04 4.861711e-04 2.233973e-01 6.981072e+00 -9.044104e+00 1.000000e+00
7.943280e-03 -1.286100e-02 1.144042e-01 -1.339868e-03 7.355252e-03 1.301872e-03 2.201321e-04 5.898609e-04 2.251248e-01 6.929044e+00 -8.931962e+00 1.000000e+00
1.000000e-02 -1.618627e-02 1.139017e-01 -2.072474e-03 9.215322e-03 1.816181e-03 1.339907e-04 7.085095e-04 2.272341e-01 6.864917e+00 -8.794418e+00 1.000000e+00
1.258930e-02 -2.036640e-02 1.132756e-01 -3.187004e-03 1.152957e-02 2.555585e-03 -4.851525e-05 8.400231e-04 2.297906e-01 6.786276e+00 -8.626763e+00 1.000000e+00
1.584890e-02 -2.561593e-02 1.124975e-01 -4.866107e-03 1.439830e-02 3.621801e-03 -3.871922e-04 9.791083e-04 2.328600e-01 6.690431e+00 -8.423960e+00 1.000000e+00
1.995260e-02 -3.219950e-02 1.115335e-01 -7.366414e-03 1.793753e-02 5.160050e-03 -9.708828e-04 1.115592e-03 2.365038e-01 6.574467e+00 -8.180856e+00 1.000000e+00
2.511890e-02 -4.043872e-02 1.103439e-01 -1.103737e-02 2.227628e-02 7.373930e-03 -1.927808e-03 1.232191e-03 2.407689e-01 6.435392e+00 -7.892609e+00 1.000000e+00
3.162280e-02 -5.071851e-02 1.088834e-01 -1.633723e-02 2.755082e-02 1.054293e-02 -3.437347e-03 1.301907e-03 2.456761e-01 6.270320e+00 -7.555225e+00 1.000000e+00
3.981070e-02 -6.348973e-02 1.071010e-01 -2.383913e-02 3.389353e-02 1.504090e-02 -5.741795e-03 1.285290e-03 2.512049e-01 6.076732e+00 -7.166217e+00 1.000000e+00
5.011870e-02 -7.926330e-02 1.049419e-01 -3.421648e-02 4.141373e-02 2.135214e-02 -9.155308e-03 1.128129e-03 2.572758e-01 5.852802e+00 -6.725374e+00 1.000000e+00
6.309570e-02 -9.859173e-02 1.023496e-01 -4.819633e-02 5.016956e-02 3.008075e-02 -1.406616e-02 7.605432e-04 2.637332e-01 5.597754e+00 -6.235477e+00 1.000000e+00
7.943280e-02 -1.220325e-01 9.927025e-02 -6.647082e-02 6.013089e-02 4.194773e-02 -2.092779e-02 9.870864e-05 2.703332e-01 5.312181e+00 -5.702790e+00 1.000000e+00
1.000000e-01 -1.500871e-01 9.565792e-02 -8.956371e-02 7.113611e-02 5.777011e-02 -3.023402e-02 -9.492834e-04 2.767382e-01 4.998283e+00 -5.137194e+00 1.000000e+00
1.258930e-01 -1.831129e-01 9.148164e-02 -1.176632e-01 8.285051e-02 7.841934e-02 -4.247633e-02 -2.472081e-03 2.825253e-01 4.659934e+00 -4.551781e+00 1.000000e+00
1.584890e-01 -2.212062e-01 8.673352e-02 -1.504444e-01 9.473720e-02 1.047566e-01 -5.808239e-02 -4.537046e-03 2.872091e-01 4.302576e+00 -3.961968e+00 1.000000e+00
1.995260e-01 -2.640808e-01 8.143537e-02 -1.869347e-01 1.060606e-01 1.375597e-01 -7.734616e-02 -7.165969e-03 2.902809e-01 3.932815e+00 -3.384025e+00 1.000000e+00
2.511890e-01 -3.109382e-01 7.564517e-02 -2.254477e-01 1.159291e-01 1.774350e-01 -1.003480e-01 -1.030386e-02 2.912586e-01 3.558006e+00 -2.833641e+00 1.000000e+00
3.162280e-01 -3.603906e-01 6.945837e-02 -2.636464e-01 1.233953e-01 2.247423e-01 -1.268838e-01 -1.378355e-02 2.897446e-01 3.185648e+00 -2.324405e+00 1.000000e+00
