#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 7.99160e-02 7.41421e-02 7.23340e-02 6.53566e-02
8.16157e-03 7.99231e-02 7.41417e-02 7.23338e-02 6.53568e-02
2.44847e-02 7.99801e-02 7.41388e-02 7.23322e-02 6.53579e-02
4.08078e-02 8.00235e-02 7.41344e-02 7.23287e-02 6.53601e-02
5.71310e-02 7.98856e-02 7.41270e-02 7.23236e-02 6.53632e-02
7.34541e-02 7.99193e-02 7.41165e-02 7.23165e-02 6.53672e-02
8.97772e-02 7.98630e-02 7.41043e-02 7.23071e-02 6.53722e-02
1.06100e-01 7.99225e-02 7.40865e-02 7.22953e-02 6.53781e-02
1.22423e-01 7.98693e-02 7.40668e-02 7.22806e-02 6.53844e-02
1.38747e-01 7.97927e-02 7.40432e-02 7.22633e-02 6.53908e-02
1.55070e-01 7.97671e-02 7.40148e-02 7.22422e-02 6.53973e-02
1.71393e-01 7.97250e-02 7.39818e-02 7.22166e-02 6.54038e-02
1.87716e-01 7.96868e-02 7.39438e-02 7.21863e-02 6.54089e-02
2.04039e-01 7.96635e-02 7.38992e-02 7.21501e-02 6.54129e-02
2.20362e-01 7.96333e-02 7.38484e-02 7.21074e-02 6.54147e-02
2.36685e-01 7.95277e-02 7.37877e-02 7.20567e-02 6.54137e-02
2.53009e-01 7.94732e-02 7.37180e-02 7.19971e-02 6.54081e-02
2.69332e-01 7.94216e-02 7.36370e-02 7.19271e-02 6.53970e-02
2.85655e-01 7.92710e-02 7.35434e-02 7.18439e-02 6.53780e-02
3.01978e-01 7.91185e-02 7.34346e-02 7.17454e-02 6.53479e-02
3.18301e-01 7.90612e-02 7.33100e-02 7.16285e-02 6.53024e-02
3.34509e-01 7.89449e-02 7.31626e-02 7.14890e-02 6.52375e-02
3.49962e-01 7.87600e-02 7.29987e-02 7.13288e-02 6.51496e-02
3.64119e-01 7.85651e-02 7.28248e-02 7.11569e-02 6.50435e-02
3.77028e-01 7.83505e-02 7.26438e-02 7.09763e-02 6.49202e-02
3.88800e-01 7.80867e-02 7.24542e-02 7.07889e-02 6.47802e-02
3.99535e-01 7.79111e-02 7.22580e-02 7.05953e-02 6.46247e-02
4.09326e-01 7.76372e-02 7.20580e-02 7.03962e-02 6.44552e-02
4.18257e-01 7.74908e-02 7.18548e-02 7.01913e-02 6.42718e-02
4.26405e-01 7.72757e-02 7.16554e-02 6.99821e-02 6.40755e-02
4.33841e-01 7.72272e-02 7.14549e-02 6.97689e-02 6.38669e-02
4.40627e-01 7.69629e-02 7.12555e-02 6.95539e-02 6.36473e-02
4.46822e-01 7.68260e-02 7.10555e-02 6.93370e-02 6.34178e-02
4.52481e-01 7.66008e-02 7.08521e-02 6.91190e-02 6.31805e-02
4.57652e-01 7.63461e-02 7.06466e-02 6.89018e-02 6.29345e-02
4.62380e-01 7.61208e-02 7.04419e-02 6.86857e-02 6.26806e-02
4.66706e-01 7.59445e-02 7.02401e-02 6.84710e-02 6.24201e-02
4.70668e-01 7.56505e-02 7.00381e-02 6.82572e-02 6.21532e-02
4.74302e-01 7.55624e-02 6.98399e-02 6.80441e-02 6.18807e-02
4.77640e-01 7.52193e-02 6.96431e-02 6.78313e-02 6.16025e-02
4.80712e-01 7.51312e-02 6.94467e-02 6.76190e-02 6.13189e-02
4.83548e-01 7.49842e-02 6.92533e-02 6.74075e-02 6.10284e-02
4.86175e-01 7.48175e-02 6.90611e-02 6.71942e-02 6.07289e-02
4.88619e-01 7.45332e-02 6.88682e-02 6.69749e-02 6.04168e-02
4.90908e-01 7.45431e-02 6.86673e-02 6.67474e-02 6.00879e-02
4.93066e-01 7.42391e-02 6.84551e-02 6.65087e-02 5.97347e-02
4.95122e-01 7.40725e-02 6.82264e-02 6.62526e-02 5.93463e-02
4.97103e-01 7.38763e-02 6.79740e-02 6.59694e-02 5.89014e-02
4.99040e-01 7.35723e-02 6.76838e-02 6.56402e-02 5.83692e-02
5.00000e-01 7.33803e-02 6.75239e-02 6.54578e-02 5.80695e-02
