#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.46603e-01 1.41623e-01 1.40266e-01 1.33571e-01
8.26918e-03 1.46601e-01 1.41620e-01 1.40262e-01 1.33563e-01
2.48076e-02 1.46588e-01 1.41598e-01 1.40236e-01 1.33503e-01
4.13459e-02 1.46554e-01 1.41556e-01 1.40182e-01 1.33383e-01
5.78843e-02 1.46451e-01 1.41491e-01 1.40102e-01 1.33203e-01
7.44227e-02 1.46428e-01 1.41406e-01 1.39994e-01 1.32963e-01
9.09610e-02 1.46362e-01 1.41300e-01 1.39859e-01 1.32664e-01
1.07499e-01 1.46199e-01 1.41172e-01 1.39695e-01 1.32305e-01
1.24038e-01 1.46020e-01 1.41023e-01 1.39504e-01 1.31886e-01
1.40576e-01 1.45932e-01 1.40852e-01 1.39285e-01 1.31406e-01
1.57115e-01 1.45681e-01 1.40660e-01 1.39037e-01 1.30866e-01
1.73653e-01 1.45536e-01 1.40444e-01 1.38760e-01 1.30264e-01
1.90191e-01 1.45327e-01 1.40205e-01 1.38452e-01 1.29601e-01
2.06730e-01 1.45033e-01 1.39941e-01 1.38112e-01 1.28875e-01
2.23268e-01 1.44783e-01 1.39652e-01 1.37739e-01 1.28085e-01
2.39806e-01 1.44512e-01 1.39335e-01 1.37332e-01 1.27232e-01
2.56345e-01 1.44215e-01 1.38989e-01 1.36890e-01 1.26314e-01
2.72883e-01 1.43840e-01 1.38614e-01 1.36412e-01 1.25330e-01
2.89421e-01 1.43477e-01 1.38207e-01 1.35897e-01 1.24279e-01
3.05960e-01 1.43039e-01 1.37767e-01 1.35342e-01 1.23159e-01
3.22498e-01 1.42503e-01 1.37296e-01 1.34747e-01 1.21967e-01
3.39037e-01 1.42113e-01 1.36791e-01 1.34106e-01 1.20700e-01
3.55575e-01 1.41599e-01 1.36248e-01 1.33418e-01 1.19354e-01
3.72103e-01 1.40978e-01 1.35663e-01 1.32677e-01 1.17925e-01
3.88437e-01 1.40434e-01 1.35037e-01 1.31885e-01 1.16424e-01
4.04358e-01 1.39845e-01 1.34376e-01 1.31050e-01 1.14866e-01
4.19848e-01 1.39205e-01 1.33680e-01 1.30171e-01 1.13248e-01
4.34961e-01 1.38571e-01 1.32940e-01 1.29239e-01 1.11558e-01
4.49756e-01 1.37835e-01 1.32150e-01 1.28246e-01 1.09778e-01
4.64298e-01 1.36945e-01 1.31295e-01 1.27173e-01 1.07879e-01
4.78654e-01 1.36075e-01 1.30350e-01 1.25988e-01 1.05805e-01
4.92897e-01 1.35051e-01 1.29280e-01 1.24644e-01 1.03512e-01
5.00000e-01 1.34480e-01 1.28697e-01 1.23912e-01 1.02281e-01
