#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00088e+01 1.08683e+00 6.70177e-01 5.88812e-01
8.16157e-03 1.00088e+01 1.08683e+00 6.70176e-01 5.88813e-01
2.44847e-02 1.00088e+01 1.08682e+00 6.70170e-01 5.88821e-01
4.08078e-02 1.00088e+01 1.08681e+00 6.70158e-01 5.88836e-01
5.71310e-02 1.00088e+01 1.08680e+00 6.70138e-01 5.88859e-01
7.34541e-02 1.00088e+01 1.08678e+00 6.70112e-01 5.88888e-01
8.97772e-02 1.00088e+01 1.08676e+00 6.70078e-01 5.88923e-01
1.06100e-01 1.00088e+01 1.08673e+00 6.70035e-01 5.88964e-01
1.22423e-01 1.00088e+01 1.08670e+00 6.69983e-01 5.89006e-01
1.38747e-01 1.00088e+01 1.08666e+00 6.69919e-01 5.89048e-01
1.55070e-01 1.00088e+01 1.08661e+00 6.69842e-01 5.89088e-01
1.71393e-01 1.00088e+01 1.08656e+00 6.69751e-01 5.89122e-01
1.87716e-01 1.00088e+01 1.08649e+00 6.69643e-01 5.89144e-01
2.04039e-01 1.00088e+01 1.08641e+00 6.69514e-01 5.89151e-01
2.20362e-01 1.00088e+01 1.08633e+00 6.69362e-01 5.89135e-01
2.36685e-01 1.00088e+01 1.08623e+00 6.69184e-01 5.89088e-01
2.53009e-01 1.00087e+01 1.08611e+00 6.68974e-01 5.88998e-01
2.69332e-01 1.00087e+01 1.08597e+00 6.68726e-01 5.88850e-01
2.85655e-01 1.00087e+01 1.08582e+00 6.68436e-01 5.88627e-01
3.01978e-01 1.00087e+01 1.08563e+00 6.68093e-01 5.88301e-01
3.18301e-01 1.00087e+01 1.08542e+00 6.67687e-01 5.87828e-01
3.34509e-01 1.00086e+01 1.08517e+00 6.67202e-01 5.87158e-01
3.49962e-01 1.00086e+01 1.08489e+00 6.66640e-01 5.86260e-01
3.64119e-01 1.00086e+01 1.08460e+00 6.66040e-01 5.85204e-01
3.77028e-01 1.00086e+01 1.08429e+00 6.65410e-01 5.83996e-01
3.88800e-01 1.00085e+01 1.08397e+00 6.64759e-01 5.82649e-01
3.99535e-01 1.00085e+01 1.08364e+00 6.64088e-01 5.81167e-01
4.09326e-01 1.00084e+01 1.08331e+00 6.63401e-01 5.79563e-01
4.18257e-01 1.00084e+01 1.08297e+00 6.62697e-01 5.77844e-01
4.26405e-01 1.00084e+01 1.08264e+00 6.61980e-01 5.76017e-01
4.33841e-01 1.00084e+01 1.08230e+00 6.61253e-01 5.74096e-01
4.40627e-01 1.00083e+01 1.08197e+00 6.60520e-01 5.72087e-01
4.46822e-01 1.00083e+01 1.08163e+00 6.59787e-01 5.70003e-01
4.52481e-01 1.00083e+01 1.08129e+00 6.59055e-01 5.67861e-01
4.57652e-01 1.00082e+01 1.08096e+00 6.58328e-01 5.65658e-01
4.62380e-01 1.00082e+01 1.08062e+00 6.57603e-01 5.63404e-01
4.66706e-01 1.00082e+01 1.08029e+00 6.56884e-01 5.61105e-01
4.70668e-01 1.00081e+01 1.07996e+00 6.56170e-01 5.58758e-01
4.74302e-01 1.00081e+01 1.07964e+00 6.55462e-01 5.56368e-01
4.77640e-01 1.00081e+01 1.07932e+00 6.54757e-01 5.53938e-01
4.80712e-01 1.00080e+01 1.07901e+00 6.54055e-01 5.51476e-01
4.83548e-01 1.00080e+01 1.07870e+00 6.53357e-01 5.48972e-01
4.86175e-01 1.00080e+01 1.07839e+00 6.52656e-01 5.46408e-01
4.88619e-01 1.00079e+01 1.07808e+00 6.51942e-01 5.43753e-01
4.90908e-01 1.00079e+01 1.07776e+00 6.51207e-01 5.40968e-01
4.93066e-01 1.00079e+01 1.07743e+00 6.50441e-01 5.37995e-01
4.95122e-01 1.00079e+01 1.07707e+00 6.49626e-01 5.34743e-01
4.97103e-01 1.00078e+01 1.07668e+00 6.48733e-01 5.31041e-01
4.99040e-01 1.00078e+01 1.07625e+00 6.47712e-01 5.26670e-01
5.00000e-01 1.00077e+01 1.07601e+00 6.47151e-01 5.24225e-01
