#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00289e+01 1.28816e+00 1.07455e+00 1.59651e+00
8.26918e-03 1.00289e+01 1.28815e+00 1.07453e+00 1.59642e+00
2.48076e-02 1.00289e+01 1.28812e+00 1.07443e+00 1.59568e+00
4.13459e-02 1.00289e+01 1.28804e+00 1.07421e+00 1.59418e+00
5.78843e-02 1.00288e+01 1.28793e+00 1.07389e+00 1.59194e+00
7.44227e-02 1.00288e+01 1.28778e+00 1.07345e+00 1.58896e+00
9.09610e-02 1.00288e+01 1.28759e+00 1.07290e+00 1.58523e+00
1.07499e-01 1.00288e+01 1.28736e+00 1.07224e+00 1.58075e+00
1.24038e-01 1.00288e+01 1.28710e+00 1.07147e+00 1.57553e+00
1.40576e-01 1.00287e+01 1.28679e+00 1.07058e+00 1.56957e+00
1.57115e-01 1.00287e+01 1.28644e+00 1.06958e+00 1.56288e+00
1.73653e-01 1.00287e+01 1.28606e+00 1.06846e+00 1.55544e+00
1.90191e-01 1.00286e+01 1.28563e+00 1.06722e+00 1.54726e+00
2.06730e-01 1.00286e+01 1.28516e+00 1.06586e+00 1.53833e+00
2.23268e-01 1.00286e+01 1.28465e+00 1.06437e+00 1.52865e+00
2.39806e-01 1.00285e+01 1.28409e+00 1.06275e+00 1.51820e+00
2.56345e-01 1.00285e+01 1.28348e+00 1.06099e+00 1.50700e+00
2.72883e-01 1.00284e+01 1.28282e+00 1.05909e+00 1.49503e+00
2.89421e-01 1.00283e+01 1.28211e+00 1.05705e+00 1.48228e+00
3.05960e-01 1.00283e+01 1.28134e+00 1.05485e+00 1.46874e+00
3.22498e-01 1.00282e+01 1.28052e+00 1.05251e+00 1.45440e+00
3.39037e-01 1.00281e+01 1.27964e+00 1.04999e+00 1.43921e+00
3.55575e-01 1.00280e+01 1.27870e+00 1.04730e+00 1.42315e+00
3.72103e-01 1.00279e+01 1.27769e+00 1.04443e+00 1.40621e+00
3.88437e-01 1.00279e+01 1.27662e+00 1.04138e+00 1.38852e+00
4.04358e-01 1.00277e+01 1.27551e+00 1.03818e+00 1.37030e+00
4.19848e-01 1.00277e+01 1.27434e+00 1.03486e+00 1.35153e+00
4.34961e-01 1.00276e+01 1.27313e+00 1.03138e+00 1.33213e+00
4.49756e-01 1.00274e+01 1.27185e+00 1.02773e+00 1.31195e+00
4.64298e-01 1.00273e+01 1.27051e+00 1.02387e+00 1.29074e+00
4.78654e-01 1.00272e+01 1.26910e+00 1.01973e+00 1.26802e+00
4.92897e-01 1.00271e+01 1.26760e+00 1.01524e+00 1.24368e+00
5.00000e-01 1.00270e+01 1.26681e+00 1.01285e+00 1.23088e+00
