#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -9.20687e-02 -9.46664e-02 -1.01806e-01 -1.36005e-01
8.16157e-03 -9.20687e-02 -9.46664e-02 -1.01806e-01 -1.36005e-01
2.44847e-02 -9.20688e-02 -9.46664e-02 -1.01806e-01 -1.36005e-01
4.08078e-02 -9.20689e-02 -9.46667e-02 -1.01806e-01 -1.36005e-01
5.71310e-02 -9.20690e-02 -9.46668e-02 -1.01807e-01 -1.36004e-01
7.34541e-02 -9.20693e-02 -9.46670e-02 -1.01807e-01 -1.36003e-01
8.97772e-02 -9.20696e-02 -9.46671e-02 -1.01808e-01 -1.36002e-01
1.06100e-01 -9.20699e-02 -9.46672e-02 -1.01808e-01 -1.36003e-01
1.22423e-01 -9.20702e-02 -9.46674e-02 -1.01809e-01 -1.36002e-01
1.38747e-01 -9.20705e-02 -9.46677e-02 -1.01810e-01 -1.36001e-01
1.55070e-01 -9.20707e-02 -9.46682e-02 -1.01811e-01 -1.35999e-01
1.71393e-01 -9.20709e-02 -9.46688e-02 -1.01811e-01 -1.35999e-01
1.87716e-01 -9.20713e-02 -9.46695e-02 -1.01812e-01 -1.35997e-01
2.04039e-01 -9.20719e-02 -9.46699e-02 -1.01813e-01 -1.35994e-01
2.20362e-01 -9.20726e-02 -9.46703e-02 -1.01814e-01 -1.35992e-01
2.36685e-01 -9.20731e-02 -9.46706e-02 -1.01815e-01 -1.35991e-01
2.53009e-01 -9.20733e-02 -9.46710e-02 -1.01815e-01 -1.35988e-01
2.69332e-01 -9.20731e-02 -9.46713e-02 -1.01816e-01 -1.35985e-01
2.85655e-01 -9.20729e-02 -9.46717e-02 -1.01816e-01 -1.35983e-01
3.01978e-01 -9.20730e-02 -9.46722e-02 -1.01816e-01 -1.35979e-01
3.18301e-01 -9.20733e-02 -9.46730e-02 -1.01816e-01 -1.35972e-01
3.34509e-01 -9.20728e-02 -9.46730e-02 -1.01814e-01 -1.35953e-01
3.49962e-01 -9.20715e-02 -9.46726e-02 -1.01812e-01 -1.35935e-01
3.64119e-01 -9.20704e-02 -9.46722e-02 -1.01812e-01 -1.35933e-01
3.77028e-01 -9.20695e-02 -9.46709e-02 -1.01811e-01 -1.35934e-01
3.88800e-01 -9.20687e-02 -9.46700e-02 -1.01812e-01 -1.35935e-01
3.99535e-01 -9.20679e-02 -9.46703e-02 -1.01813e-01 -1.35934e-01
4.09326e-01 -9.20677e-02 -9.46721e-02 -1.01816e-01 -1.35932e-01
4.18257e-01 -9.20675e-02 -9.46745e-02 -1.01820e-01 -1.35934e-01
4.26405e-01 -9.20666e-02 -9.46769e-02 -1.01823e-01 -1.35940e-01
4.33841e-01 -9.20644e-02 -9.46791e-02 -1.01825e-01 -1.35947e-01
4.40627e-01 -9.20609e-02 -9.46810e-02 -1.01825e-01 -1.35952e-01
4.46822e-01 -9.20573e-02 -9.46817e-02 -1.01824e-01 -1.35954e-01
4.52481e-01 -9.20550e-02 -9.46811e-02 -1.01822e-01 -1.35957e-01
4.57652e-01 -9.20544e-02 -9.46794e-02 -1.01821e-01 -1.35956e-01
4.62380e-01 -9.20547e-02 -9.46776e-02 -1.01821e-01 -1.35953e-01
4.66706e-01 -9.20553e-02 -9.46760e-02 -1.01819e-01 -1.35948e-01
4.70668e-01 -9.20568e-02 -9.46749e-02 -1.01816e-01 -1.35945e-01
4.74302e-01 -9.20598e-02 -9.46750e-02 -1.01814e-01 -1.35942e-01
4.77640e-01 -9.20640e-02 -9.46763e-02 -1.01813e-01 -1.35937e-01
4.80712e-01 -9.20664e-02 -9.46776e-02 -1.01813e-01 -1.35933e-01
4.83548e-01 -9.20643e-02 -9.46784e-02 -1.01813e-01 -1.35934e-01
4.86175e-01 -9.20588e-02 -9.46796e-02 -1.01813e-01 -1.35938e-01
4.88619e-01 -9.20535e-02 -9.46815e-02 -1.01813e-01 -1.35942e-01
4.90908e-01 -9.20507e-02 -9.46830e-02 -1.01811e-01 -1.35944e-01
4.93066e-01 -9.20499e-02 -9.46835e-02 -1.01809e-01 -1.35946e-01
4.95122e-01 -9.20489e-02 -9.46816e-02 -1.01805e-01 -1.35942e-01
4.97103e-01 -9.20439e-02 -9.46722e-02 -1.01793e-01 -1.35916e-01
4.99040e-01 -9.20083e-02 -9.46245e-02 -1.01735e-01 -1.35785e-01
5.00000e-01 -9.19794e-02 -9.45867e-02 -1.01689e-01 -1.35681e-01
