#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -3.54628e-01 -3.58991e-01 -3.70333e-01 -4.16859e-01
8.26918e-03 -3.54627e-01 -3.58991e-01 -3.70333e-01 -4.16859e-01
2.48076e-02 -3.54627e-01 -3.58990e-01 -3.70335e-01 -4.16859e-01
4.13459e-02 -3.54627e-01 -3.58990e-01 -3.70338e-01 -4.16856e-01
5.78843e-02 -3.54627e-01 -3.58988e-01 -3.70341e-01 -4.16854e-01
7.44227e-02 -3.54627e-01 -3.58987e-01 -3.70344e-01 -4.16850e-01
9.09610e-02 -3.54627e-01 -3.58985e-01 -3.70347e-01 -4.16846e-01
1.07499e-01 -3.54627e-01 -3.58985e-01 -3.70350e-01 -4.16840e-01
1.24038e-01 -3.54626e-01 -3.58985e-01 -3.70352e-01 -4.16832e-01
1.40576e-01 -3.54626e-01 -3.58987e-01 -3.70354e-01 -4.16826e-01
1.57115e-01 -3.54625e-01 -3.58990e-01 -3.70355e-01 -4.16820e-01
1.73653e-01 -3.54625e-01 -3.58992e-01 -3.70356e-01 -4.16818e-01
1.90191e-01 -3.54625e-01 -3.58994e-01 -3.70355e-01 -4.16816e-01
2.06730e-01 -3.54625e-01 -3.58994e-01 -3.70354e-01 -4.16814e-01
2.23268e-01 -3.54626e-01 -3.58994e-01 -3.70354e-01 -4.16809e-01
2.39806e-01 -3.54627e-01 -3.58993e-01 -3.70354e-01 -4.16801e-01
2.56345e-01 -3.54629e-01 -3.58992e-01 -3.70354e-01 -4.16791e-01
2.72883e-01 -3.54630e-01 -3.58993e-01 -3.70355e-01 -4.16778e-01
2.89421e-01 -3.54630e-01 -3.58993e-01 -3.70356e-01 -4.16762e-01
3.05960e-01 -3.54629e-01 -3.58992e-01 -3.70357e-01 -4.16749e-01
3.22498e-01 -3.54628e-01 -3.58992e-01 -3.70359e-01 -4.16738e-01
3.39037e-01 -3.54627e-01 -3.58991e-01 -3.70363e-01 -4.16730e-01
3.55575e-01 -3.54628e-01 -3.58989e-01 -3.70367e-01 -4.16722e-01
3.72103e-01 -3.54629e-01 -3.58987e-01 -3.70371e-01 -4.16710e-01
3.88437e-01 -3.54630e-01 -3.58985e-01 -3.70373e-01 -4.16695e-01
4.04358e-01 -3.54633e-01 -3.58986e-01 -3.70372e-01 -4.16681e-01
4.19848e-01 -3.54634e-01 -3.58989e-01 -3.70370e-01 -4.16673e-01
4.34961e-01 -3.54635e-01 -3.58994e-01 -3.70370e-01 -4.16667e-01
4.49756e-01 -3.54635e-01 -3.58997e-01 -3.70370e-01 -4.16654e-01
4.64298e-01 -3.54633e-01 -3.58994e-01 -3.70363e-01 -4.16627e-01
4.78654e-01 -3.54617e-01 -3.58976e-01 -3.70336e-01 -4.16547e-01
4.92897e-01 -3.54534e-01 -3.58884e-01 -3.70206e-01 -4.16330e-01
5.00000e-01 -3.54467e-01 -3.58810e-01 -3.70102e-01 -4.16170e-01
