#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00080e+00 1.06451e+00 1.25039e+00 2.39783e+00
8.16157e-03 1.00080e+00 1.06451e+00 1.25039e+00 2.39783e+00
2.44847e-02 1.00080e+00 1.06451e+00 1.25039e+00 2.39783e+00
4.08078e-02 1.00080e+00 1.06451e+00 1.25039e+00 2.39784e+00
5.71310e-02 1.00080e+00 1.06451e+00 1.25040e+00 2.39784e+00
7.34541e-02 1.00080e+00 1.06451e+00 1.25040e+00 2.39784e+00
8.97772e-02 1.00080e+00 1.06451e+00 1.25040e+00 2.39785e+00
1.06100e-01 1.00080e+00 1.06451e+00 1.25040e+00 2.39787e+00
1.22423e-01 1.00080e+00 1.06451e+00 1.25040e+00 2.39789e+00
1.38747e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39790e+00
1.55070e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39791e+00
1.71393e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39794e+00
1.87716e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39795e+00
2.04039e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39796e+00
2.20362e-01 1.00080e+00 1.06452e+00 1.25041e+00 2.39798e+00
2.36685e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39800e+00
2.53009e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39801e+00
2.69332e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39803e+00
2.85655e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39805e+00
3.01978e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39805e+00
3.18301e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39803e+00
3.34509e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39803e+00
3.49962e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39805e+00
3.64119e-01 1.00080e+00 1.06452e+00 1.25040e+00 2.39805e+00
3.77028e-01 1.00080e+00 1.06452e+00 1.25040e+00 2.39803e+00
3.88800e-01 1.00080e+00 1.06451e+00 1.25040e+00 2.39800e+00
3.99535e-01 1.00080e+00 1.06451e+00 1.25041e+00 2.39797e+00
4.09326e-01 1.00080e+00 1.06450e+00 1.25042e+00 2.39797e+00
4.18257e-01 1.00080e+00 1.06450e+00 1.25043e+00 2.39799e+00
4.26405e-01 1.00080e+00 1.06450e+00 1.25043e+00 2.39801e+00
4.33841e-01 1.00080e+00 1.06451e+00 1.25043e+00 2.39802e+00
4.40627e-01 1.00080e+00 1.06452e+00 1.25044e+00 2.39803e+00
4.46822e-01 1.00080e+00 1.06452e+00 1.25043e+00 2.39803e+00
4.52481e-01 1.00080e+00 1.06452e+00 1.25041e+00 2.39804e+00
4.57652e-01 1.00080e+00 1.06452e+00 1.25040e+00 2.39804e+00
4.62380e-01 1.00080e+00 1.06451e+00 1.25040e+00 2.39802e+00
4.66706e-01 1.00080e+00 1.06451e+00 1.25040e+00 2.39799e+00
4.70668e-01 1.00080e+00 1.06450e+00 1.25041e+00 2.39796e+00
4.74302e-01 1.00080e+00 1.06450e+00 1.25040e+00 2.39796e+00
4.77640e-01 1.00080e+00 1.06450e+00 1.25040e+00 2.39796e+00
4.80712e-01 1.00080e+00 1.06450e+00 1.25040e+00 2.39797e+00
4.83548e-01 1.00080e+00 1.06450e+00 1.25042e+00 2.39799e+00
4.86175e-01 1.00080e+00 1.06450e+00 1.25043e+00 2.39799e+00
4.88619e-01 1.00080e+00 1.06451e+00 1.25043e+00 2.39798e+00
4.90908e-01 1.00080e+00 1.06451e+00 1.25042e+00 2.39795e+00
4.93066e-01 1.00080e+00 1.06450e+00 1.25042e+00 2.39795e+00
4.95122e-01 1.00080e+00 1.06450e+00 1.25042e+00 2.39798e+00
4.97103e-01 1.00080e+00 1.06451e+00 1.25043e+00 2.39808e+00
4.99040e-01 1.00080e+00 1.06451e+00 1.25044e+00 2.39826e+00
5.00000e-01 1.00080e+00 1.06451e+00 1.25045e+00 2.39839e+00
