#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 6.56484e-02 5.14736e-02 4.95133e-02 4.27519e-02
8.26918e-03 6.56491e-02 5.14734e-02 4.95134e-02 4.27518e-02
2.48076e-02 6.56549e-02 5.14714e-02 4.95141e-02 4.27511e-02
4.13459e-02 6.57299e-02 5.14676e-02 4.95153e-02 4.27501e-02
5.78843e-02 6.56781e-02 5.14622e-02 4.95168e-02 4.27494e-02
7.44227e-02 6.56935e-02 5.14586e-02 4.95176e-02 4.27496e-02
9.09610e-02 6.57821e-02 5.14551e-02 4.95179e-02 4.27508e-02
1.07499e-01 6.56956e-02 5.14531e-02 4.95180e-02 4.27528e-02
1.24038e-01 6.56188e-02 5.14535e-02 4.95183e-02 4.27555e-02
1.40576e-01 6.56594e-02 5.14568e-02 4.95192e-02 4.27579e-02
1.57115e-01 6.55807e-02 5.14602e-02 4.95203e-02 4.27593e-02
1.73653e-01 6.56347e-02 5.14633e-02 4.95211e-02 4.27599e-02
1.90191e-01 6.56945e-02 5.14655e-02 4.95210e-02 4.27593e-02
2.06730e-01 6.56120e-02 5.14673e-02 4.95198e-02 4.27578e-02
2.23268e-01 6.55411e-02 5.14688e-02 4.95179e-02 4.27556e-02
2.39806e-01 6.57375e-02 5.14697e-02 4.95159e-02 4.27536e-02
2.56345e-01 6.56646e-02 5.14680e-02 4.95146e-02 4.27518e-02
2.72883e-01 6.56418e-02 5.14650e-02 4.95138e-02 4.27499e-02
2.89421e-01 6.57017e-02 5.14593e-02 4.95140e-02 4.27484e-02
3.05960e-01 6.57251e-02 5.14538e-02 4.95145e-02 4.27473e-02
3.22498e-01 6.55350e-02 5.14502e-02 4.95164e-02 4.27467e-02
3.39037e-01 6.56565e-02 5.14502e-02 4.95184e-02 4.27470e-02
3.55575e-01 6.55588e-02 5.14525e-02 4.95205e-02 4.27478e-02
3.72103e-01 6.55015e-02 5.14558e-02 4.95220e-02 4.27491e-02
3.88437e-01 6.55788e-02 5.14585e-02 4.95228e-02 4.27510e-02
4.04358e-01 6.56562e-02 5.14565e-02 4.95228e-02 4.27529e-02
4.19848e-01 6.56374e-02 5.14563e-02 4.95234e-02 4.27544e-02
4.34961e-01 6.56379e-02 5.14554e-02 4.95227e-02 4.27560e-02
4.49756e-01 6.57153e-02 5.14560e-02 4.95215e-02 4.27588e-02
4.64298e-01 6.56196e-02 5.14561e-02 4.95209e-02 4.27622e-02
4.78654e-01 6.56971e-02 5.14564e-02 4.95258e-02 4.27701e-02
4.92897e-01 6.56593e-02 5.14699e-02 4.95412e-02 4.27861e-02
5.00000e-01 6.55978e-02 5.14815e-02 4.95527e-02 4.27972e-02
