#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00071e+01 1.07109e+00 6.38631e-01 5.11972e-01
8.16157e-03 1.00071e+01 1.07109e+00 6.38630e-01 5.11973e-01
2.44847e-02 1.00072e+01 1.07108e+00 6.38626e-01 5.11981e-01
4.08078e-02 1.00072e+01 1.07108e+00 6.38618e-01 5.11997e-01
5.71310e-02 1.00071e+01 1.07107e+00 6.38605e-01 5.12020e-01
7.34541e-02 1.00071e+01 1.07105e+00 6.38588e-01 5.12051e-01
8.97772e-02 1.00071e+01 1.07104e+00 6.38565e-01 5.12089e-01
1.06100e-01 1.00071e+01 1.07102e+00 6.38537e-01 5.12132e-01
1.22423e-01 1.00071e+01 1.07099e+00 6.38501e-01 5.12181e-01
1.38747e-01 1.00071e+01 1.07096e+00 6.38458e-01 5.12234e-01
1.55070e-01 1.00071e+01 1.07092e+00 6.38405e-01 5.12289e-01
1.71393e-01 1.00071e+01 1.07088e+00 6.38344e-01 5.12347e-01
1.87716e-01 1.00071e+01 1.07083e+00 6.38269e-01 5.12400e-01
2.04039e-01 1.00071e+01 1.07077e+00 6.38180e-01 5.12450e-01
2.20362e-01 1.00071e+01 1.07070e+00 6.38075e-01 5.12490e-01
2.36685e-01 1.00071e+01 1.07062e+00 6.37950e-01 5.12517e-01
2.53009e-01 1.00071e+01 1.07053e+00 6.37801e-01 5.12522e-01
2.69332e-01 1.00071e+01 1.07043e+00 6.37625e-01 5.12499e-01
2.85655e-01 1.00071e+01 1.07030e+00 6.37416e-01 5.12432e-01
3.01978e-01 1.00070e+01 1.07016e+00 6.37168e-01 5.12307e-01
3.18301e-01 1.00070e+01 1.06999e+00 6.36874e-01 5.12103e-01
3.34509e-01 1.00070e+01 1.06980e+00 6.36524e-01 5.11797e-01
3.49962e-01 1.00070e+01 1.06959e+00 6.36129e-01 5.11376e-01
3.64119e-01 1.00070e+01 1.06936e+00 6.35701e-01 5.10840e-01
3.77028e-01 1.00069e+01 1.06913e+00 6.35248e-01 5.10199e-01
3.88800e-01 1.00069e+01 1.06888e+00 6.34773e-01 5.09455e-01
3.99535e-01 1.00069e+01 1.06862e+00 6.34278e-01 5.08609e-01
4.09326e-01 1.00069e+01 1.06836e+00 6.33765e-01 5.07670e-01
4.18257e-01 1.00068e+01 1.06809e+00 6.33237e-01 5.06636e-01
4.26405e-01 1.00068e+01 1.06782e+00 6.32696e-01 5.05513e-01
4.33841e-01 1.00068e+01 1.06755e+00 6.32144e-01 5.04304e-01
4.40627e-01 1.00068e+01 1.06728e+00 6.31585e-01 5.03016e-01
4.46822e-01 1.00067e+01 1.06701e+00 6.31020e-01 5.01657e-01
4.52481e-01 1.00067e+01 1.06674e+00 6.30452e-01 5.00237e-01
4.57652e-01 1.00067e+01 1.06647e+00 6.29883e-01 4.98751e-01
4.62380e-01 1.00066e+01 1.06619e+00 6.29313e-01 4.97202e-01
4.66706e-01 1.00066e+01 1.06592e+00 6.28741e-01 4.95599e-01
4.70668e-01 1.00066e+01 1.06564e+00 6.28170e-01 4.93948e-01
4.74302e-01 1.00066e+01 1.06537e+00 6.27600e-01 4.92251e-01
4.77640e-01 1.00065e+01 1.06510e+00 6.27030e-01 4.90507e-01
4.80712e-01 1.00065e+01 1.06483e+00 6.26456e-01 4.88713e-01
4.83548e-01 1.00065e+01 1.06456e+00 6.25880e-01 4.86856e-01
4.86175e-01 1.00065e+01 1.06429e+00 6.25295e-01 4.84926e-01
4.88619e-01 1.00064e+01 1.06402e+00 6.24693e-01 4.82904e-01
4.90908e-01 1.00064e+01 1.06373e+00 6.24065e-01 4.80759e-01
4.93066e-01 1.00064e+01 1.06343e+00 6.23400e-01 4.78437e-01
4.95122e-01 1.00064e+01 1.06310e+00 6.22678e-01 4.75855e-01
4.97103e-01 1.00063e+01 1.06273e+00 6.21870e-01 4.72865e-01
4.99040e-01 1.00063e+01 1.06229e+00 6.20910e-01 4.69216e-01
5.00000e-01 1.00063e+01 1.06205e+00 6.20371e-01 4.67140e-01
