#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00028e+01 1.02722e+00 5.54470e-01 3.33799e-01
8.33333e-03 1.00028e+01 1.02722e+00 5.54469e-01 3.33794e-01
2.50000e-02 1.00028e+01 1.02721e+00 5.54457e-01 3.33751e-01
4.16667e-02 1.00028e+01 1.02720e+00 5.54436e-01 3.33669e-01
5.83333e-02 1.00028e+01 1.02719e+00 5.54402e-01 3.33549e-01
7.50000e-02 1.00028e+01 1.02717e+00 5.54356e-01 3.33395e-01
9.16667e-02 1.00028e+01 1.02714e+00 5.54299e-01 3.33205e-01
1.08333e-01 1.00028e+01 1.02711e+00 5.54228e-01 3.32984e-01
1.25000e-01 1.00028e+01 1.02708e+00 5.54143e-01 3.32734e-01
1.41667e-01 1.00028e+01 1.02703e+00 5.54043e-01 3.32455e-01
1.58333e-01 1.00028e+01 1.02698e+00 5.53931e-01 3.32140e-01
1.75000e-01 1.00028e+01 1.02693e+00 5.53808e-01 3.31786e-01
1.91667e-01 1.00028e+01 1.02686e+00 5.53675e-01 3.31396e-01
2.08333e-01 1.00028e+01 1.02680e+00 5.53532e-01 3.30969e-01
2.25000e-01 1.00027e+01 1.02673e+00 5.53378e-01 3.30503e-01
2.41667e-01 1.00027e+01 1.02665e+00 5.53210e-01 3.29994e-01
2.58333e-01 1.00027e+01 1.02656e+00 5.53030e-01 3.29437e-01
2.75000e-01 1.00027e+01 1.02647e+00 5.52835e-01 3.28828e-01
2.91667e-01 1.00027e+01 1.02638e+00 5.52624e-01 3.28168e-01
3.08333e-01 1.00027e+01 1.02627e+00 5.52398e-01 3.27452e-01
3.25000e-01 1.00027e+01 1.02615e+00 5.52152e-01 3.26673e-01
3.41667e-01 1.00027e+01 1.02603e+00 5.51885e-01 3.25826e-01
3.58333e-01 1.00026e+01 1.02589e+00 5.51592e-01 3.24903e-01
3.75000e-01 1.00026e+01 1.02575e+00 5.51272e-01 3.23900e-01
3.91667e-01 1.00026e+01 1.02559e+00 5.50926e-01 3.22818e-01
4.08333e-01 1.00026e+01 1.02542e+00 5.50554e-01 3.21645e-01
4.25000e-01 1.00026e+01 1.02524e+00 5.50150e-01 3.20361e-01
4.41667e-01 1.00026e+01 1.02503e+00 5.49708e-01 3.18950e-01
4.58333e-01 1.00025e+01 1.02481e+00 5.49214e-01 3.17397e-01
4.75000e-01 1.00025e+01 1.02455e+00 5.48655e-01 3.15682e-01
4.91667e-01 1.00025e+01 1.02424e+00 5.48013e-01 3.13766e-01
5.00000e-01 1.00025e+01 1.02408e+00 5.47662e-01 3.12733e-01
