#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00096e+01 1.09046e+00 6.80172e-01 6.43295e-01
8.16157e-03 1.00096e+01 1.09045e+00 6.80145e-01 6.43225e-01
2.44847e-02 1.00096e+01 1.09034e+00 6.79935e-01 6.42658e-01
4.08078e-02 1.00095e+01 1.09014e+00 6.79512e-01 6.41524e-01
5.71310e-02 1.00095e+01 1.08983e+00 6.78879e-01 6.39820e-01
7.34541e-02 1.00095e+01 1.08943e+00 6.78033e-01 6.37541e-01
8.97772e-02 1.00094e+01 1.08892e+00 6.76974e-01 6.34684e-01
1.06100e-01 1.00094e+01 1.08831e+00 6.75700e-01 6.31240e-01
1.22423e-01 1.00093e+01 1.08759e+00 6.74211e-01 6.27202e-01
1.38747e-01 1.00092e+01 1.08677e+00 6.72504e-01 6.22562e-01
1.55070e-01 1.00091e+01 1.08585e+00 6.70578e-01 6.17308e-01
1.71393e-01 1.00090e+01 1.08482e+00 6.68429e-01 6.11429e-01
1.87716e-01 1.00089e+01 1.08368e+00 6.66056e-01 6.04909e-01
2.04039e-01 1.00088e+01 1.08243e+00 6.63457e-01 5.97733e-01
2.20362e-01 1.00086e+01 1.08108e+00 6.60624e-01 5.89886e-01
2.36685e-01 1.00085e+01 1.07961e+00 6.57558e-01 5.81348e-01
2.53009e-01 1.00083e+01 1.07802e+00 6.54249e-01 5.72095e-01
2.69332e-01 1.00082e+01 1.07632e+00 6.50694e-01 5.62104e-01
2.85655e-01 1.00080e+01 1.07450e+00 6.46886e-01 5.51348e-01
3.01978e-01 1.00078e+01 1.07256e+00 6.42815e-01 5.39796e-01
3.18301e-01 1.00076e+01 1.07049e+00 6.38472e-01 5.27413e-01
3.34509e-01 1.00074e+01 1.06829e+00 6.33876e-01 5.14256e-01
3.49962e-01 1.00072e+01 1.06607e+00 6.29219e-01 5.00875e-01
3.64119e-01 1.00069e+01 1.06391e+00 6.24700e-01 4.87853e-01
3.77028e-01 1.00067e+01 1.06184e+00 6.20360e-01 4.75310e-01
3.88800e-01 1.00065e+01 1.05986e+00 6.16203e-01 4.63283e-01
3.99535e-01 1.00064e+01 1.05796e+00 6.12234e-01 4.51794e-01
4.09326e-01 1.00062e+01 1.05615e+00 6.08452e-01 4.40851e-01
4.18257e-01 1.00060e+01 1.05443e+00 6.04855e-01 4.30456e-01
4.26405e-01 1.00058e+01 1.05279e+00 6.01437e-01 4.20602e-01
4.33841e-01 1.00057e+01 1.05124e+00 5.98194e-01 4.11278e-01
4.40627e-01 1.00056e+01 1.04977e+00 5.95117e-01 4.02462e-01
4.46822e-01 1.00054e+01 1.04837e+00 5.92200e-01 3.94129e-01
4.52481e-01 1.00053e+01 1.04704e+00 5.89435e-01 3.86258e-01
4.57652e-01 1.00052e+01 1.04577e+00 5.86810e-01 3.78822e-01
4.62380e-01 1.00050e+01 1.04457e+00 5.84318e-01 3.71794e-01
4.66706e-01 1.00049e+01 1.04343e+00 5.81948e-01 3.65142e-01
4.70668e-01 1.00048e+01 1.04234e+00 5.79691e-01 3.58835e-01
4.74302e-01 1.00047e+01 1.04130e+00 5.77535e-01 3.52843e-01
4.77640e-01 1.00046e+01 1.04030e+00 5.75472e-01 3.47132e-01
4.80712e-01 1.00045e+01 1.03934e+00 5.73489e-01 3.41670e-01
4.83548e-01 1.00044e+01 1.03841e+00 5.71573e-01 3.36414e-01
4.86175e-01 1.00043e+01 1.03750e+00 5.69708e-01 3.31321e-01
4.88619e-01 1.00043e+01 1.03661e+00 5.67874e-01 3.26338e-01
4.90908e-01 1.00042e+01 1.03573e+00 5.66048e-01 3.21395e-01
4.93066e-01 1.00041e+01 1.03483e+00 5.64197e-01 3.16401e-01
4.95122e-01 1.00040e+01 1.03389e+00 5.62272e-01 3.11214e-01
4.97103e-01 1.00039e+01 1.03288e+00 5.60190e-01 3.05611e-01
4.99040e-01 1.00038e+01 1.03172e+00 5.57802e-01 2.99188e-01
5.00000e-01 1.00037e+01 1.03108e+00 5.56488e-01 2.95654e-01
