#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.00151e+01 1.14623e+00 7.92565e-01 9.34433e-01
8.26918e-03 1.00151e+01 1.14622e+00 7.92549e-01 9.34343e-01
2.48076e-02 1.00151e+01 1.14618e+00 7.92426e-01 9.33621e-01
4.13459e-02 1.00150e+01 1.14608e+00 7.92179e-01 9.32179e-01
5.78843e-02 1.00150e+01 1.14594e+00 7.91809e-01 9.30016e-01
7.44227e-02 1.00150e+01 1.14575e+00 7.91314e-01 9.27135e-01
9.09610e-02 1.00150e+01 1.14551e+00 7.90694e-01 9.23540e-01
1.07499e-01 1.00150e+01 1.14523e+00 7.89948e-01 9.19234e-01
1.24038e-01 1.00149e+01 1.14489e+00 7.89073e-01 9.14224e-01
1.40576e-01 1.00149e+01 1.14451e+00 7.88070e-01 9.08515e-01
1.57115e-01 1.00149e+01 1.14408e+00 7.86937e-01 9.02113e-01
1.73653e-01 1.00148e+01 1.14359e+00 7.85670e-01 8.95024e-01
1.90191e-01 1.00148e+01 1.14305e+00 7.84268e-01 8.87251e-01
2.06730e-01 1.00147e+01 1.14246e+00 7.82727e-01 8.78800e-01
2.23268e-01 1.00147e+01 1.14181e+00 7.81041e-01 8.69675e-01
2.39806e-01 1.00146e+01 1.14110e+00 7.79209e-01 8.59882e-01
2.56345e-01 1.00145e+01 1.14033e+00 7.77224e-01 8.49423e-01
2.72883e-01 1.00145e+01 1.13950e+00 7.75082e-01 8.38301e-01
2.89421e-01 1.00144e+01 1.13860e+00 7.72777e-01 8.26515e-01
3.05960e-01 1.00143e+01 1.13763e+00 7.70301e-01 8.14064e-01
3.22498e-01 1.00142e+01 1.13658e+00 7.67646e-01 8.00941e-01
3.39037e-01 1.00141e+01 1.13546e+00 7.64796e-01 7.87131e-01
3.55575e-01 1.00140e+01 1.13424e+00 7.61740e-01 7.72615e-01
3.72103e-01 1.00139e+01 1.13294e+00 7.58457e-01 7.57374e-01
3.88437e-01 1.00137e+01 1.13154e+00 7.54963e-01 7.41544e-01
4.04358e-01 1.00136e+01 1.13007e+00 7.51290e-01 7.25311e-01
4.19848e-01 1.00135e+01 1.12851e+00 7.47428e-01 7.08662e-01
4.34961e-01 1.00133e+01 1.12685e+00 7.43334e-01 6.91473e-01
4.49756e-01 1.00132e+01 1.12506e+00 7.38945e-01 6.73537e-01
4.64298e-01 1.00130e+01 1.12309e+00 7.34148e-01 6.54503e-01
4.78654e-01 1.00128e+01 1.12086e+00 7.28750e-01 6.33759e-01
4.92897e-01 1.00125e+01 1.11822e+00 7.22394e-01 6.10286e-01
5.00000e-01 1.00124e+01 1.11673e+00 7.18852e-01 5.97505e-01
