#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -1.57809e-02 -1.49623e-02 -1.30496e-02 -7.24472e-03
8.16157e-03 -1.57676e-02 -1.49512e-02 -1.30405e-02 -7.24107e-03
2.44847e-02 -1.56618e-02 -1.48617e-02 -1.29683e-02 -7.21183e-03
4.08078e-02 -1.54618e-02 -1.46825e-02 -1.28236e-02 -7.15320e-03
5.71310e-02 -1.51882e-02 -1.44138e-02 -1.26059e-02 -7.06472e-03
7.34541e-02 -1.47824e-02 -1.40550e-02 -1.23150e-02 -6.94577e-03
8.97772e-02 -1.43000e-02 -1.36057e-02 -1.19500e-02 -6.79537e-03
1.06100e-01 -1.37118e-02 -1.30663e-02 -1.15100e-02 -6.61235e-03
1.22423e-01 -1.30206e-02 -1.24352e-02 -1.09941e-02 -6.39542e-03
1.38747e-01 -1.22353e-02 -1.17120e-02 -1.04004e-02 -6.14289e-03
1.55070e-01 -1.13500e-02 -1.08965e-02 -9.72792e-03 -5.85262e-03
1.71393e-01 -1.03735e-02 -9.98694e-03 -8.97481e-03 -5.52215e-03
1.87716e-01 -9.28529e-03 -8.98256e-03 -8.13904e-03 -5.14882e-03
2.04039e-01 -8.09412e-03 -7.88267e-03 -7.21845e-03 -4.72909e-03
2.20362e-01 -6.81176e-03 -6.68554e-03 -6.20988e-03 -4.25929e-03
2.36685e-01 -5.43824e-03 -5.39048e-03 -5.11132e-03 -3.73472e-03
2.53009e-01 -3.93529e-03 -3.99477e-03 -3.91838e-03 -3.15012e-03
2.69332e-01 -2.34118e-03 -2.49665e-03 -2.62783e-03 -2.49909e-03
2.85655e-01 -6.50000e-04 -8.93654e-04 -1.23591e-03 -1.77442e-03
3.01978e-01 1.11765e-03 8.16346e-04 2.62933e-04 -9.67509e-04
3.18301e-01 3.08824e-03 2.63808e-03 1.87375e-03 -6.83608e-05
3.34509e-01 5.08824e-03 4.55885e-03 3.58986e-03 9.28038e-04
3.49962e-01 7.14706e-03 6.49923e-03 5.33971e-03 1.98642e-03
3.64119e-01 9.08824e-03 8.37596e-03 7.04856e-03 3.06362e-03
3.77028e-01 1.09412e-02 1.01737e-02 8.70173e-03 4.14812e-03
3.88800e-01 1.26471e-02 1.18877e-02 1.02948e-02 5.23379e-03
3.99535e-01 1.43235e-02 1.35175e-02 1.18242e-02 6.31526e-03
4.09326e-01 1.58235e-02 1.50642e-02 1.32879e-02 7.38801e-03
4.18257e-01 1.73529e-02 1.65285e-02 1.46844e-02 8.44718e-03
4.26405e-01 1.87941e-02 1.79167e-02 1.60146e-02 9.48876e-03
4.33841e-01 2.02059e-02 1.92290e-02 1.72788e-02 1.05094e-02
4.40627e-01 2.14412e-02 2.04700e-02 1.84797e-02 1.15067e-02
4.46822e-01 2.26471e-02 2.16421e-02 1.96188e-02 1.24791e-02
4.52481e-01 2.37059e-02 2.27465e-02 2.06992e-02 1.34257e-02
4.57652e-01 2.47353e-02 2.37862e-02 2.17247e-02 1.43445e-02
4.62380e-01 2.56765e-02 2.47679e-02 2.26987e-02 1.52353e-02
4.66706e-01 2.66765e-02 2.56963e-02 2.36246e-02 1.60987e-02
4.70668e-01 2.75000e-02 2.65744e-02 2.45058e-02 1.69360e-02
4.74302e-01 2.83824e-02 2.74100e-02 2.53459e-02 1.77485e-02
4.77640e-01 2.90294e-02 2.82077e-02 2.61487e-02 1.85382e-02
4.80712e-01 2.98824e-02 2.89708e-02 2.69184e-02 1.93081e-02
4.83548e-01 3.06471e-02 2.97060e-02 2.76613e-02 2.00620e-02
4.86175e-01 3.13824e-02 3.04183e-02 2.83830e-02 2.08045e-02
4.88619e-01 3.19706e-02 3.11152e-02 2.90890e-02 2.15417e-02
4.90908e-01 3.28235e-02 3.18029e-02 2.97886e-02 2.22834e-02
4.93066e-01 3.34118e-02 3.24946e-02 3.04947e-02 2.30433e-02
4.95122e-01 3.41765e-02 3.32102e-02 3.12276e-02 2.38444e-02
4.97103e-01 3.49706e-02 3.39798e-02 3.20197e-02 2.47238e-02
4.99040e-01 3.57941e-02 3.48613e-02 3.29322e-02 2.57575e-02
5.00000e-01 3.62201e-02 3.53462e-02 3.34357e-02 2.63343e-02
