#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -4.06274e-03 -4.01801e-03 -3.79580e-03 -2.85005e-03
8.26918e-03 -4.05962e-03 -4.01525e-03 -3.79311e-03 -2.84807e-03
2.48076e-02 -4.03462e-03 -3.99319e-03 -3.77158e-03 -2.83221e-03
4.13459e-02 -3.97885e-03 -3.94904e-03 -3.72846e-03 -2.80054e-03
5.78843e-02 -3.89615e-03 -3.88265e-03 -3.66396e-03 -2.75278e-03
7.44227e-02 -3.78462e-03 -3.79313e-03 -3.57804e-03 -2.68873e-03
9.09610e-02 -3.65769e-03 -3.68010e-03 -3.47052e-03 -2.60829e-03
1.07499e-01 -3.51346e-03 -3.54292e-03 -3.34103e-03 -2.51129e-03
1.24038e-01 -3.35962e-03 -3.38181e-03 -3.18907e-03 -2.39744e-03
1.40576e-01 -3.16538e-03 -3.19660e-03 -3.01403e-03 -2.26676e-03
1.57115e-01 -2.95577e-03 -2.98692e-03 -2.81558e-03 -2.11877e-03
1.73653e-01 -2.72885e-03 -2.75225e-03 -2.59341e-03 -1.95313e-03
1.90191e-01 -2.45769e-03 -2.49144e-03 -2.34728e-03 -1.76934e-03
2.06730e-01 -2.17500e-03 -2.20412e-03 -2.07660e-03 -1.56696e-03
2.23268e-01 -1.84231e-03 -1.88940e-03 -1.78062e-03 -1.34526e-03
2.39806e-01 -1.49231e-03 -1.54704e-03 -1.45811e-03 -1.10351e-03
2.56345e-01 -1.12308e-03 -1.17612e-03 -1.10776e-03 -8.40717e-04
2.72883e-01 -7.42308e-04 -7.75577e-04 -7.28221e-04 -5.55863e-04
2.89421e-01 -3.17308e-04 -3.43288e-04 -3.18091e-04 -2.47781e-04
3.05960e-01 1.09615e-04 1.23635e-04 1.24279e-04 8.50000e-05
3.22498e-01 5.53846e-04 6.28654e-04 6.01779e-04 4.44238e-04
3.39037e-01 1.17500e-03 1.17635e-03 1.11644e-03 8.31938e-04
3.55575e-01 1.75000e-03 1.76731e-03 1.67226e-03 1.25062e-03
3.72103e-01 2.32692e-03 2.40519e-03 2.27327e-03 1.70340e-03
3.88437e-01 3.03846e-03 3.08673e-03 2.91644e-03 2.18870e-03
4.04358e-01 3.76923e-03 3.80808e-03 3.59726e-03 2.70327e-03
4.19848e-01 4.53846e-03 4.57731e-03 4.31952e-03 3.24985e-03
4.34961e-01 5.40385e-03 5.40288e-03 5.09317e-03 3.83625e-03
4.49756e-01 6.28846e-03 6.30154e-03 5.93625e-03 4.47505e-03
4.64298e-01 7.21154e-03 7.30327e-03 6.87813e-03 5.18818e-03
4.78654e-01 8.38462e-03 8.46346e-03 7.96774e-03 6.01268e-03
4.92897e-01 9.82692e-03 9.89538e-03 9.30740e-03 7.03091e-03
5.00000e-01 1.06498e-02 1.07140e-02 1.00717e-02 7.61319e-03
