#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.33333e-03 -1.80811e-04 -6.70100e-04 -2.44549e-03 -2.16377e-02
2.50000e-02 -5.42726e-04 -2.01004e-03 -7.33600e-03 -6.49081e-02
4.16667e-02 -9.05471e-04 -3.34946e-03 -1.22259e-02 -1.08174e-01
5.83333e-02 -1.26945e-03 -4.68870e-03 -1.71166e-02 -1.51442e-01
7.50000e-02 -1.63465e-03 -6.02883e-03 -2.20115e-02 -1.94738e-01
9.16667e-02 -2.00072e-03 -7.37154e-03 -2.69151e-02 -2.38096e-01
1.08333e-01 -2.36720e-03 -8.71846e-03 -3.18319e-02 -2.81538e-01
1.25000e-01 -2.73394e-03 -1.00710e-02 -3.67652e-02 -3.25079e-01
1.41667e-01 -3.10114e-03 -1.14299e-02 -4.17168e-02 -3.68720e-01
1.58333e-01 -3.46923e-03 -1.27957e-02 -4.66871e-02 -4.12454e-01
1.75000e-01 -3.83883e-03 -1.41684e-02 -5.16776e-02 -4.56273e-01
1.91667e-01 -4.21057e-03 -1.55481e-02 -5.66907e-02 -5.00181e-01
2.08333e-01 -4.58489e-03 -1.69352e-02 -6.17303e-02 -5.44163e-01
2.25000e-01 -4.96233e-03 -1.83306e-02 -6.67999e-02 -5.88251e-01
2.41667e-01 -5.34343e-03 -1.97357e-02 -7.19038e-02 -6.32503e-01
2.58333e-01 -5.72862e-03 -2.11520e-02 -7.70464e-02 -6.76966e-01
2.75000e-01 -6.11809e-03 -2.25811e-02 -8.22324e-02 -7.21691e-01
2.91667e-01 -6.51171e-03 -2.40244e-02 -8.74677e-02 -7.66698e-01
3.08333e-01 -6.90952e-03 -2.54837e-02 -9.27593e-02 -8.11962e-01
3.25000e-01 -7.31244e-03 -2.69613e-02 -9.81148e-02 -8.57485e-01
3.41667e-01 -7.72226e-03 -2.84600e-02 -1.03544e-01 -9.03349e-01
3.58333e-01 -8.14112e-03 -2.99831e-02 -1.09057e-01 -9.49689e-01
3.75000e-01 -8.57042e-03 -3.15347e-02 -1.14668e-01 -9.96615e-01
3.91667e-01 -9.01037e-03 -3.31203e-02 -1.20390e-01 -1.04423e+00
4.08333e-01 -9.46234e-03 -3.47459e-02 -1.26245e-01 -1.09266e+00
4.25000e-01 -9.93223e-03 -3.64211e-02 -1.32266e-01 -1.14212e+00
4.41667e-01 -1.04296e-02 -3.81636e-02 -1.38513e-01 -1.19295e+00
4.58333e-01 -1.09624e-02 -4.00077e-02 -1.45098e-01 -1.24569e+00
4.75000e-01 -1.15324e-02 -4.19953e-02 -1.52168e-01 -1.30157e+00
4.91667e-01 -1.21279e-02 -4.41542e-02 -1.59851e-01 -1.36101e+00
5.00000e-01 -1.24352e-02 -4.52978e-02 -1.63922e-01 -1.39207e+00
