#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.26918e-03 -1.22446e-04 -1.28162e-03 -2.93962e-03 -1.18900e-02
2.48076e-02 -3.67103e-04 -3.84536e-03 -8.81983e-03 -3.56710e-02
4.13459e-02 -6.11145e-04 -6.41080e-03 -1.47034e-02 -5.94482e-02
5.78843e-02 -8.54377e-04 -8.97921e-03 -2.05930e-02 -8.32122e-02
7.44227e-02 -1.09707e-03 -1.15512e-02 -2.64908e-02 -1.06957e-01
9.09610e-02 -1.33961e-03 -1.41281e-02 -3.23990e-02 -1.30675e-01
1.07499e-01 -1.58255e-03 -1.67114e-02 -3.83195e-02 -1.54351e-01
1.24038e-01 -1.82641e-03 -1.93027e-02 -4.42542e-02 -1.77980e-01
1.40576e-01 -2.07175e-03 -2.19038e-02 -5.02058e-02 -2.01561e-01
1.57115e-01 -2.31902e-03 -2.45163e-02 -5.61771e-02 -2.25095e-01
1.73653e-01 -2.56824e-03 -2.71409e-02 -6.21714e-02 -2.48585e-01
1.90191e-01 -2.81922e-03 -2.97785e-02 -6.81927e-02 -2.72025e-01
2.06730e-01 -3.07173e-03 -3.24313e-02 -7.42445e-02 -2.95413e-01
2.23268e-01 -3.32557e-03 -3.51013e-02 -8.03302e-02 -3.18751e-01
2.39806e-01 -3.58106e-03 -3.77920e-02 -8.64536e-02 -3.42034e-01
2.56345e-01 -3.83893e-03 -4.05068e-02 -9.26199e-02 -3.65266e-01
2.72883e-01 -4.10006e-03 -4.32485e-02 -9.88362e-02 -3.88452e-01
2.89421e-01 -4.36502e-03 -4.60197e-02 -1.05111e-01 -4.11602e-01
3.05960e-01 -4.63355e-03 -4.88239e-02 -1.11454e-01 -4.34733e-01
3.22498e-01 -4.90500e-03 -5.16661e-02 -1.17876e-01 -4.57865e-01
3.39037e-01 -5.17949e-03 -5.45526e-02 -1.24389e-01 -4.81018e-01
3.55575e-01 -5.45825e-03 -5.74916e-02 -1.31006e-01 -5.04211e-01
3.72103e-01 -5.74317e-03 -6.04912e-02 -1.37739e-01 -5.27460e-01
3.88437e-01 -6.03219e-03 -6.35288e-02 -1.44531e-01 -5.50554e-01
4.04358e-01 -6.32204e-03 -6.65735e-02 -1.51314e-01 -5.73265e-01
4.19848e-01 -6.61359e-03 -6.96319e-02 -1.58113e-01 -5.95659e-01
4.34961e-01 -6.91027e-03 -7.27325e-02 -1.64992e-01 -6.17919e-01
4.49756e-01 -7.21626e-03 -7.59178e-02 -1.72038e-01 -6.40297e-01
4.64298e-01 -7.53685e-03 -7.92547e-02 -1.79386e-01 -6.63169e-01
4.78654e-01 -7.88135e-03 -8.28439e-02 -1.87255e-01 -6.87073e-01
4.92897e-01 -8.26883e-03 -8.68602e-02 -1.95997e-01 -7.12774e-01
5.00000e-01 -8.47907e-03 -8.90325e-02 -2.00703e-01 -7.26329e-01
