#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 9.58309e-04 9.04581e-02 3.60344e-01 2.21648e+00
8.16157e-03 9.58235e-04 9.04454e-02 3.60291e-01 2.21612e+00
2.44847e-02 9.57647e-04 9.03438e-02 3.59869e-01 2.21329e+00
4.08078e-02 9.52941e-04 9.01406e-02 3.59024e-01 2.20762e+00
5.71310e-02 9.50294e-04 8.98348e-02 3.57758e-01 2.19910e+00
7.34541e-02 9.48235e-04 8.94285e-02 3.56066e-01 2.18771e+00
8.97772e-02 9.40882e-04 8.89194e-02 3.53947e-01 2.17342e+00
1.06100e-01 9.37353e-04 8.83073e-02 3.51399e-01 2.15620e+00
1.22423e-01 9.29706e-04 8.75915e-02 3.48421e-01 2.13601e+00
1.38747e-01 9.20000e-04 8.67715e-02 3.45008e-01 2.11281e+00
1.55070e-01 9.11176e-04 8.58467e-02 3.41156e-01 2.08654e+00
1.71393e-01 9.00294e-04 8.48154e-02 3.36859e-01 2.05714e+00
1.87716e-01 8.90000e-04 8.36781e-02 3.32113e-01 2.02454e+00
2.04039e-01 8.79118e-04 8.24319e-02 3.26914e-01 1.98866e+00
2.20362e-01 8.63529e-04 8.10754e-02 3.21249e-01 1.94943e+00
2.36685e-01 8.50000e-04 7.96073e-02 3.15115e-01 1.90674e+00
2.53009e-01 8.32647e-04 7.80248e-02 3.08497e-01 1.86047e+00
2.69332e-01 8.18824e-04 7.63244e-02 3.01388e-01 1.81052e+00
2.85655e-01 8.00000e-04 7.45042e-02 2.93772e-01 1.75674e+00
3.01978e-01 7.80000e-04 7.25598e-02 2.85630e-01 1.69898e+00
3.18301e-01 7.60000e-04 7.04858e-02 2.76944e-01 1.63707e+00
3.34509e-01 7.39706e-04 6.82923e-02 2.67753e-01 1.57128e+00
3.49962e-01 7.16765e-04 6.60690e-02 2.58437e-01 1.50437e+00
3.64119e-01 6.94412e-04 6.39135e-02 2.49401e-01 1.43926e+00
3.77028e-01 6.73824e-04 6.18413e-02 2.40719e-01 1.37655e+00
3.88800e-01 6.54412e-04 5.98554e-02 2.32407e-01 1.31641e+00
3.99535e-01 6.36471e-04 5.79567e-02 2.24468e-01 1.25897e+00
4.09326e-01 6.19118e-04 5.61481e-02 2.16904e-01 1.20425e+00
4.18257e-01 6.00882e-04 5.44271e-02 2.09709e-01 1.15228e+00
4.26405e-01 5.84706e-04 5.27925e-02 2.02874e-01 1.10301e+00
4.33841e-01 5.70294e-04 5.12404e-02 1.96388e-01 1.05639e+00
4.40627e-01 5.55882e-04 4.97663e-02 1.90234e-01 1.01231e+00
4.46822e-01 5.41471e-04 4.83662e-02 1.84401e-01 9.70645e-01
4.52481e-01 5.28235e-04 4.70358e-02 1.78869e-01 9.31291e-01
4.57652e-01 5.16471e-04 4.57719e-02 1.73621e-01 8.94110e-01
4.62380e-01 5.03824e-04 4.45710e-02 1.68636e-01 8.58969e-01
4.66706e-01 4.92941e-04 4.34271e-02 1.63896e-01 8.25712e-01
4.70668e-01 4.82353e-04 4.23392e-02 1.59382e-01 7.94177e-01
4.74302e-01 4.72353e-04 4.12983e-02 1.55071e-01 7.64214e-01
4.77640e-01 4.62059e-04 4.02983e-02 1.50943e-01 7.35662e-01
4.80712e-01 4.52353e-04 3.93360e-02 1.46977e-01 7.08350e-01
4.83548e-01 4.42941e-04 3.84065e-02 1.43145e-01 6.82069e-01
4.86175e-01 4.34118e-04 3.75017e-02 1.39416e-01 6.56603e-01
4.88619e-01 4.25588e-04 3.66133e-02 1.35748e-01 6.31688e-01
4.90908e-01 4.16471e-04 3.57283e-02 1.32097e-01 6.06976e-01
4.93066e-01 4.07059e-04 3.48283e-02 1.28394e-01 5.82004e-01
4.95122e-01 3.97353e-04 3.38902e-02 1.24544e-01 5.56068e-01
4.97103e-01 3.87941e-04 3.28769e-02 1.20380e-01 5.28053e-01
4.99040e-01 3.76471e-04 3.17169e-02 1.15604e-01 4.95939e-01
5.00000e-01 3.69946e-04 3.10792e-02 1.12976e-01 4.78270e-01
