#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.68849e-03 1.63991e-01 6.58000e-01 4.14060e+00
8.33333e-03 1.68846e-03 1.63990e-01 6.57996e-01 4.14054e+00
2.50000e-02 1.68827e-03 1.63984e-01 6.57965e-01 4.14010e+00
4.16667e-02 1.68846e-03 1.63972e-01 6.57903e-01 4.13920e+00
5.83333e-02 1.68846e-03 1.63954e-01 6.57811e-01 4.13784e+00
7.50000e-02 1.68808e-03 1.63929e-01 6.57688e-01 4.13600e+00
9.16667e-02 1.68769e-03 1.63900e-01 6.57535e-01 4.13368e+00
1.08333e-01 1.68769e-03 1.63865e-01 6.57350e-01 4.13088e+00
1.25000e-01 1.68750e-03 1.63823e-01 6.57132e-01 4.12758e+00
1.41667e-01 1.68712e-03 1.63775e-01 6.56880e-01 4.12379e+00
1.58333e-01 1.68692e-03 1.63722e-01 6.56594e-01 4.11951e+00
1.75000e-01 1.68673e-03 1.63663e-01 6.56272e-01 4.11474e+00
1.91667e-01 1.68596e-03 1.63598e-01 6.55917e-01 4.10949e+00
2.08333e-01 1.68538e-03 1.63527e-01 6.55528e-01 4.10376e+00
2.25000e-01 1.68462e-03 1.63450e-01 6.55104e-01 4.09753e+00
2.41667e-01 1.68327e-03 1.63367e-01 6.54646e-01 4.09080e+00
2.58333e-01 1.68288e-03 1.63276e-01 6.54151e-01 4.08352e+00
2.75000e-01 1.68192e-03 1.63179e-01 6.53618e-01 4.07567e+00
2.91667e-01 1.68115e-03 1.63072e-01 6.53045e-01 4.06725e+00
3.08333e-01 1.68000e-03 1.62958e-01 6.52426e-01 4.05824e+00
3.25000e-01 1.67827e-03 1.62836e-01 6.51762e-01 4.04865e+00
3.41667e-01 1.67692e-03 1.62704e-01 6.51050e-01 4.03845e+00
3.58333e-01 1.67654e-03 1.62565e-01 6.50290e-01 4.02761e+00
3.75000e-01 1.67538e-03 1.62416e-01 6.49480e-01 4.01608e+00
3.91667e-01 1.67423e-03 1.62257e-01 6.48617e-01 4.00379e+00
4.08333e-01 1.67250e-03 1.62087e-01 6.47693e-01 3.99068e+00
4.25000e-01 1.67019e-03 1.61905e-01 6.46700e-01 3.97667e+00
4.41667e-01 1.66808e-03 1.61708e-01 6.45620e-01 3.96165e+00
4.58333e-01 1.66692e-03 1.61492e-01 6.44434e-01 3.94545e+00
4.75000e-01 1.66519e-03 1.61252e-01 6.43117e-01 3.92768e+00
4.91667e-01 1.66231e-03 1.60983e-01 6.41655e-01 3.90826e+00
5.00000e-01 1.66043e-03 1.60837e-01 6.40869e-01 3.89793e+00
