#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.16157e-03 6.69273e-03 6.71069e-03 6.75011e-03 6.75688e-03
2.44847e-02 2.00785e-02 2.01326e-02 2.02513e-02 2.02740e-02
4.08078e-02 3.34651e-02 3.35560e-02 3.37558e-02 3.38015e-02
5.71310e-02 4.68531e-02 4.69820e-02 4.72655e-02 4.73462e-02
7.34541e-02 6.02431e-02 6.04115e-02 6.07828e-02 6.09150e-02
8.97772e-02 7.36359e-02 7.38457e-02 7.43099e-02 7.45153e-02
1.06100e-01 8.70321e-02 8.72856e-02 8.78489e-02 8.81538e-02
1.22423e-01 1.00432e-01 1.00733e-01 1.01402e-01 1.01838e-01
1.38747e-01 1.13838e-01 1.14188e-01 1.14972e-01 1.15575e-01
1.55070e-01 1.27250e-01 1.27654e-01 1.28561e-01 1.29372e-01
1.71393e-01 1.40669e-01 1.41130e-01 1.42172e-01 1.43238e-01
1.87716e-01 1.54098e-01 1.54621e-01 1.55808e-01 1.57179e-01
2.04039e-01 1.67538e-01 1.68127e-01 1.69471e-01 1.71204e-01
2.20362e-01 1.80990e-01 1.81650e-01 1.83164e-01 1.85321e-01
2.36685e-01 1.94459e-01 1.95195e-01 1.96893e-01 1.99539e-01
2.53009e-01 2.07947e-01 2.08765e-01 2.10659e-01 2.13866e-01
2.69332e-01 2.21457e-01 2.22363e-01 2.24469e-01 2.28312e-01
2.85655e-01 2.34996e-01 2.35994e-01 2.38329e-01 2.42887e-01
3.01978e-01 2.48570e-01 2.49667e-01 2.52244e-01 2.57600e-01
3.18301e-01 2.62187e-01 2.63387e-01 2.66222e-01 2.72460e-01
3.34509e-01 2.75761e-01 2.77069e-01 2.80172e-01 2.87365e-01
3.49962e-01 2.88761e-01 2.90176e-01 2.93547e-01 3.01719e-01
3.64119e-01 3.00739e-01 3.02255e-01 3.05880e-01 3.15017e-01
3.77028e-01 3.11730e-01 3.13339e-01 3.17205e-01 3.27273e-01
3.88800e-01 3.21824e-01 3.23520e-01 3.27610e-01 3.38566e-01
3.99535e-01 3.31103e-01 3.32881e-01 3.37179e-01 3.48972e-01
4.09326e-01 3.39642e-01 3.41495e-01 3.45986e-01 3.58562e-01
4.18257e-01 3.47508e-01 3.49431e-01 3.54098e-01 3.67403e-01
4.26405e-01 3.54764e-01 3.56749e-01 3.61577e-01 3.75555e-01
4.33841e-01 3.61462e-01 3.63505e-01 3.68480e-01 3.83074e-01
4.40627e-01 3.67655e-01 3.69751e-01 3.74859e-01 3.90014e-01
4.46822e-01 3.73389e-01 3.75534e-01 3.80761e-01 3.96423e-01
4.52481e-01 3.78709e-01 3.80896e-01 3.86230e-01 4.02348e-01
4.57652e-01 3.83653e-01 3.85877e-01 3.91308e-01 4.07834e-01
4.62380e-01 3.88256e-01 3.90512e-01 3.96031e-01 4.12919e-01
4.66706e-01 3.92551e-01 3.94836e-01 4.00433e-01 4.17642e-01
4.70668e-01 3.96569e-01 3.98880e-01 4.04546e-01 4.22040e-01
4.74302e-01 4.00340e-01 4.02674e-01 4.08401e-01 4.26146e-01
4.77640e-01 4.03893e-01 4.06248e-01 4.12029e-01 4.29993e-01
4.80712e-01 4.07254e-01 4.09628e-01 4.15458e-01 4.33614e-01
4.83548e-01 4.10449e-01 4.12843e-01 4.18716e-01 4.37043e-01
4.86175e-01 4.13508e-01 4.15923e-01 4.21834e-01 4.40314e-01
4.88619e-01 4.16465e-01 4.18900e-01 4.24847e-01 4.43463e-01
4.90908e-01 4.19360e-01 4.21814e-01 4.27794e-01 4.46531e-01
4.93066e-01 4.22244e-01 4.24715e-01 4.30727e-01 4.49571e-01
4.95122e-01 4.25191e-01 4.27677e-01 4.33722e-01 4.52664e-01
4.97103e-01 4.28312e-01 4.30809e-01 4.36888e-01 4.55927e-01
4.99040e-01 4.31804e-01 4.34307e-01 4.40425e-01 4.59568e-01
5.00000e-01 4.33699e-01 4.36203e-01 4.42343e-01 4.61540e-01
