#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.33333e-03 1.08350e-03 1.13988e-03 1.29025e-03 1.90293e-03
2.50000e-02 3.25124e-03 3.41988e-03 3.87077e-03 5.70839e-03
4.16667e-02 5.42102e-03 5.70081e-03 6.45167e-03 9.51365e-03
5.83333e-02 7.59391e-03 7.98365e-03 9.03374e-03 1.33193e-02
7.50000e-02 9.77071e-03 1.02696e-02 1.16185e-02 1.71283e-02
9.16667e-02 1.19520e-02 1.25599e-02 1.42078e-02 2.09448e-02
1.08333e-01 1.41385e-02 1.48561e-02 1.68037e-02 2.47714e-02
1.25000e-01 1.63307e-02 1.71595e-02 1.94072e-02 2.86097e-02
1.41667e-01 1.85298e-02 1.94713e-02 2.20194e-02 3.24601e-02
1.58333e-01 2.07371e-02 2.17929e-02 2.46409e-02 3.63217e-02
1.75000e-01 2.29540e-02 2.41251e-02 2.72733e-02 4.01937e-02
1.91667e-01 2.51821e-02 2.64689e-02 2.99180e-02 4.40769e-02
2.08333e-01 2.74226e-02 2.88254e-02 3.25769e-02 4.79702e-02
2.25000e-01 2.96773e-02 3.11960e-02 3.52523e-02 5.18777e-02
2.41667e-01 3.19479e-02 3.35827e-02 3.79465e-02 5.58050e-02
2.58333e-01 3.42370e-02 3.59880e-02 4.06615e-02 5.97563e-02
2.75000e-01 3.65467e-02 3.84144e-02 4.33995e-02 6.37361e-02
2.91667e-01 3.88793e-02 4.08649e-02 4.61631e-02 6.77459e-02
3.08333e-01 4.12369e-02 4.33421e-02 4.89556e-02 7.17842e-02
3.25000e-01 4.36226e-02 4.58493e-02 5.17806e-02 7.58517e-02
3.41667e-01 4.60404e-02 4.83901e-02 5.46433e-02 7.99547e-02
3.58333e-01 4.84957e-02 5.09696e-02 5.75494e-02 8.41054e-02
3.75000e-01 5.09943e-02 5.35940e-02 6.05050e-02 8.83132e-02
3.91667e-01 5.35432e-02 5.62711e-02 6.35181e-02 9.25867e-02
4.08333e-01 5.61528e-02 5.90116e-02 6.65988e-02 9.69364e-02
4.25000e-01 5.88409e-02 6.18303e-02 6.97626e-02 1.01377e-01
4.41667e-01 6.16356e-02 6.47511e-02 7.30364e-02 1.05932e-01
4.58333e-01 6.45786e-02 6.78170e-02 7.64677e-02 1.10643e-01
4.75000e-01 6.77248e-02 7.10944e-02 8.01293e-02 1.15599e-01
4.91667e-01 7.11173e-02 7.46470e-02 8.40827e-02 1.20799e-01
5.00000e-01 7.29060e-02 7.65265e-02 8.61688e-02 1.23490e-01
