#  d     heat   stress
 0.0      0.0      0.0
0.05 -74.0007 0.123324
 0.1 -74.2704 0.247285
0.15 -74.7253 0.368466
 0.2 -75.3773 0.490742
0.25 -76.2438 0.606335
 0.3 -77.3473 0.718992
0.35 -78.7157 0.822475
 0.4 -80.3969 0.910609
0.45 -82.4438 0.977487
 0.5 -84.9358  1.00187
0.55 -87.9836 0.970415
 0.6 -91.7426 0.842533
0.65  -96.462 0.524578
 0.7 -102.508 -0.12279
0.73 -107.023 -0.795556
0.75 -110.516 -1.42194
0.77 -114.499 -2.26125
 0.8 -121.646 -4.11901
0.82 -127.433 -5.95493
0.83 -130.722 -7.12994
0.86 -142.733 -12.4117
0.88 -153.241 -18.3488
 0.9 -166.855 -27.9814
