#     d    heatFlux       force   epsilon
   0.01  7.3914e+01  6.3397e-01  9.67e-03
  0.015  7.3916e+01  9.5369e-01  6.30e-03
   0.02  7.3917e+01  1.2653e+00  3.03e-03
   0.03  7.3938e+01  1.9001e+00  1.09e-03
   0.05  7.3997e+01  3.1778e+00  1.40e-03
   0.07  7.4084e+01  4.4600e+00  5.34e-04
    0.1  7.4266e+01  6.4279e+00  5.44e-04
   0.15  7.4720e+01  9.8211e+00  9.67e-05
    0.2  7.5370e+01  1.3464e+01  1.11e-04
   0.25  7.6239e+01  1.7443e+01  2.58e-05
    0.3  7.7341e+01  2.1896e+01  3.20e-05
   0.35  7.8709e+01  2.6981e+01  1.39e-04
    0.4  8.0389e+01  3.2931e+01  4.78e-04
   0.45  8.2433e+01  4.0080e+01  3.06e-04
    0.5  8.4927e+01  4.8856e+01  4.06e-04
   0.55  8.7978e+01  5.9972e+01  9.09e-05
    0.6  9.1740e+01  7.4483e+01  4.61e-04
   0.65  9.6458e+01  9.4228e+01  1.76e-04
    0.7  1.0250e+02  1.2233e+02  6.54e-04
   0.75  1.1051e+02  1.6514e+02  5.48e-04
    0.8  1.2164e+02  2.3628e+02  5.06e-04
   0.83  1.3072e+02  3.0526e+02  7.55e-04
   0.86  1.4273e+02  4.1306e+02  1.11e-03
   0.88  1.5323e+02  5.2441e+02  1.12e-03
    0.9  1.6684e+02  6.9381e+02  1.23e-03
   0.92  1.8543e+02  9.7646e+02  1.02e-03
   0.93  1.9763e+02  1.1961e+03  1.60e-03
   0.94  2.1283e+02  1.5131e+03  1.81e-03
   0.95  2.3244e+02  1.9917e+03  2.70e-03
   0.96  2.5906e+02  2.7841e+03  4.79e-03
   0.97  2.9817e+02  4.2896e+03  7.40e-03
