#  d     heat   stress
 0.0      0.0      0.0
0.02 -4.09886 0.00657213
0.05 -4.10144 0.0163743
 0.1  -4.1102 0.0330103
0.15 -4.12522 0.0497982
 0.2 -4.14646 0.0673337
0.25 -4.17465  0.08546
 0.3 -4.21044 0.104702
0.35 -4.25447 0.125019
 0.4 -4.30806 0.146895
0.45 -4.37259 0.170689
 0.5 -4.45043 0.196257
0.55 -4.54374 0.224809
 0.6 -4.65686 0.256336
0.65 -4.79525  0.29115
 0.7 -4.96704 0.329489
0.75 -5.18595 0.370348
 0.8 -5.47443 0.409272
0.83 -5.69757 0.426736
0.84 -5.78337 0.429559
0.85 -5.87618 0.431755
0.86 -5.97717 0.430189
0.87 -6.08738 0.424168
0.88 -6.20844 0.415346
0.89 -6.34223 0.395955
 0.9  -6.4915 0.370016
0.91 -6.65992 0.326133
0.92 -6.85119  0.26394
0.93 -7.07269 0.165584
0.94 -7.33375 0.0143857
0.95 -7.64873 -0.231346
0.96 -8.04406 -0.66351
