     #d heatFlux   moment
      0        0        0
0.00625  67.1241 0.379587
 0.0125  67.1079 0.805594
  0.025  67.0588  1.62885
 0.0375  66.9679  2.46163
   0.05  66.8495  3.22824
  0.075  66.5098  4.67249
    0.1  66.0611   5.9022
  0.125  65.5147  6.90347
   0.15  64.8967  7.63395
  0.163  64.5479  7.88791
  0.175  64.2228  8.07585
  0.187  63.8897     8.23
   0.20  63.5235  8.29064
  0.213  63.1499  8.29543
  0.225  62.8126  8.26886
  0.237  62.4783  8.17696
   0.25  62.1155  8.01602
  0.263  61.7651  7.83766
  0.275  61.4473   7.6294
   0.30   60.818   7.0603
  0.325  60.2433  6.38411
   0.35  59.7233  5.61501
  0.375    59.28  4.77541
   0.40  58.9031  3.88413
  0.425  58.6127  2.95989
 0.4375   58.494  2.49234
   0.45  58.4001  2.03209
  0.475  58.2744  1.03398
 0.4875  58.2439 0.538332
    0.5        0        0
