     #d heatFlux   moment
      0        0        0
0.00625 -67.1414 0.398088
 0.0125  -67.125 0.808945
  0.025 -67.0679  1.61043
 0.0375 -66.9749  2.39766
   0.05 -66.8527   3.1632
  0.075 -66.5272  4.58048
    0.1 -66.0669  5.79117
  0.125 -65.5148   6.7697
   0.15 -64.9019  7.50283
  0.163 -64.5589  7.78247
  0.175 -64.2243  7.97949
  0.187 -63.8947  8.11038
   0.20 -63.5261  8.20344
  0.213 -63.1594  8.24404
  0.225 -62.8184  8.21304
  0.237 -62.4917  8.15091
   0.25 -62.1193     8.02
  0.263  -61.782  7.85494
  0.275 -61.4651  7.66589
   0.30 -60.8168  7.13367
  0.325 -60.2403  6.48479
   0.35  -59.727  5.73544
  0.375 -59.2876  4.89287
   0.40 -58.9192  3.99774
  0.425 -58.6096  3.04719
 0.4375 -58.5077  2.54576
   0.45  -58.401  2.05548
  0.475 -58.2697  1.03328
 0.4875 -58.2449 0.519336
    0.5        0        0
