#"T" "Points:0" "Points:1" "Points:2"
0.50025 0 0 0
0.50123 0.01 0 0
0.50419 0.02 0 0
0.5091 0.03 0 0
0.51595 0.04 0 0
0.52471 0.05 0 0
0.53534 0.06 0 0
0.54781 0.07 0 0
0.56206 0.08 0 0
0.57804 0.09 0 0
0.59569 0.1 0 0
0.61493 0.11 0 0
0.6357 0.12 0 0
0.6579 0.13 0 0
0.68145 0.14 0 0
0.70625 0.15 0 0
0.73222 0.16 0 0
0.75924 0.17 0 0
0.78722 0.18 0 0
0.81603 0.19 0 0
0.84557 0.2 0 0
0.87572 0.21 0 0
0.90636 0.22 0 0
0.93736 0.23 0 0
0.96862 0.24 0 0
1 0.25 0 0
1.0314 0.26 0 0
1.0626 0.27 0 0
1.0936 0.28 0 0
1.1243 0.29 0 0
1.1544 0.3 0 0
1.184 0.31 0 0
1.2128 0.32 0 0
1.2408 0.33 0 0
1.2678 0.34 0 0
1.2937 0.35 0 0
1.3186 0.36 0 0
1.3421 0.37 0 0
1.3643 0.38 0 0
1.3851 0.39 0 0
1.4043 0.4 0 0
1.422 0.41 0 0
1.4379 0.42 0 0
1.4522 0.43 0 0
1.4647 0.44 0 0
1.4753 0.45 0 0
1.4841 0.46 0 0
1.4909 0.47 0 0
1.4958 0.48 0 0
1.4988 0.49 0 0
1.4998 0.5 0 0
1.4988 0.51 0 0
1.4958 0.52 0 0
1.4909 0.53 0 0
1.4841 0.54 0 0
1.4753 0.55 0 0
1.4647 0.56 0 0
1.4522 0.57 0 0
1.4379 0.58 0 0
1.422 0.59 0 0
1.4043 0.6 0 0
1.3851 0.61 0 0
1.3643 0.62 0 0
1.3421 0.63 0 0
1.3186 0.64 0 0
1.2937 0.65 0 0
1.2678 0.66 0 0
1.2408 0.67 0 0
1.2128 0.68 0 0
1.184 0.69 0 0
1.1544 0.7 0 0
1.1243 0.71 0 0
1.0936 0.72 0 0
1.0626 0.73 0 0
1.0314 0.74 0 0
1 0.75 0 0
0.96862 0.76 0 0
0.93736 0.77 0 0
0.90636 0.78 0 0
0.87572 0.79 0 0
0.84557 0.8 0 0
0.81603 0.81 0 0
0.78722 0.82 0 0
0.75924 0.83 0 0
0.73222 0.84 0 0
0.70625 0.85 0 0
0.68145 0.86 0 0
0.6579 0.87 0 0
0.6357 0.88 0 0
0.61493 0.89 0 0
0.59569 0.9 0 0
0.57804 0.91 0 0
0.56206 0.92 0 0
0.54781 0.93 0 0
0.53534 0.94 0 0
0.52471 0.95 0 0
0.51595 0.96 0 0
0.5091 0.97 0 0
0.50419 0.98 0 0
0.50123 0.99 0 0
0.50025 1 0 0
0.51525 0 0.0040066 0
0.5162 0.01 0.0040066 0
0.51908 0.02 0.0040066 0
0.52385 0.03 0.0040066 0
0.5305 0.04 0.0040066 0
0.53902 0.05 0.0040066 0
0.54935 0.06 0.0040066 0
0.56147 0.07 0.0040066 0
0.57533 0.08 0.0040066 0
0.59087 0.09 0.0040066 0
