#k          p_xy       U            Q+U/2
8.8623e-03 -8.6790e-03 1.1599e-01 5.8041e-02
1.1223e-02 -1.0949e-02 1.1804e-01 5.9059e-02
1.4213e-02 -1.3793e-02 1.1903e-01 5.9548e-02
1.7999e-02 -1.7347e-02 1.1915e-01 5.9592e-02
2.2793e-02 -2.1771e-02 1.1868e-01 5.9330e-02
2.8865e-02 -2.7256e-02 1.1772e-01 5.8815e-02
3.6554e-02 -3.4021e-02 1.1634e-01 5.8071e-02
4.6291e-02 -4.2310e-02 1.1455e-01 5.7086e-02
5.8622e-02 -5.2384e-02 1.1232e-01 5.5844e-02
7.4237e-02 -6.4512e-02 1.0967e-01 5.4323e-02
9.4013e-02 -7.8943e-02 1.0659e-01 5.2499e-02
1.1906e-01 -9.5878e-02 1.0306e-01 5.0349e-02
1.5077e-01 -1.1544e-01 9.9118e-02 4.7867e-02
1.9093e-01 -1.3764e-01 9.4782e-02 4.5062e-02
# before N=4000, after N=2000
2.4179e-01 -1.6233e-01 9.0073e-02 4.1961e-02
3.0620e-01 -1.8926e-01 8.5093e-02 3.8627e-02
# before N=2000, after N=1000
3.8777e-01 -2.1797e-01 7.9841e-02 3.5121e-02
4.9106e-01 -2.4787e-01 7.4454e-02 3.1541e-02
6.2187e-01 -2.7836e-01 6.8975e-02 2.7973e-02
7.8752e-01 -3.0880e-01 6.3472e-02 2.4504e-02
9.9730e-01 -3.3852e-01 5.7998e-02 2.1208e-02
1.2630e+00 -3.6680e-01 5.2663e-02 1.8151e-02
1.5994e+00 -3.9334e-01 4.7499e-02 1.5372e-02
2.0254e+00 -4.1781e-01 4.2552e-02 1.2892e-02
2.5650e+00 -4.3996e-01 3.7865e-02 1.0718e-02
3.2482e+00 -4.5951e-01 3.3470e-02 8.8418e-03
4.1135e+00 -4.7672e-01 2.9397e-02 7.2439e-03
5.2093e+00 -4.9168e-01 2.5666e-02 5.8991e-03
6.5969e+00 -5.0447e-01 2.2285e-02 4.7790e-03
8.3542e+00 -5.1521e-01 1.9244e-02 3.8545e-03
1.0580e+01 -5.2425e-01 1.6535e-02 3.0973e-03
1.3398e+01 -5.3182e-01 1.4143e-02 2.4809e-03
1.6967e+01 -5.3804e-01 1.2044e-02 1.9819e-03
2.1486e+01 -5.4310e-01 1.0215e-02 1.5799e-03
2.7210e+01 -5.4725e-01 8.6313e-03 1.2571e-03
3.4458e+01 -5.5064e-01 7.2675e-03 9.9881e-04
4.3637e+01 -5.5336e-01 6.0993e-03 7.9264e-04
5.5261e+01 -5.5554e-01 5.1031e-03 6.2843e-04
6.9981e+01 -5.5731e-01 4.2572e-03 4.9786e-04
8.86227e+01 -5.58714e-01 3.54763e-03 3.94026e-04
1.14461e+02 -5.59919e-01 2.90050e-03 3.05741e-04
1.47832e+02 -5.60865e-01 2.36532e-03 2.37125e-04
1.90932e+02 -5.61606e-01 1.92432e-03 1.83840e-04
2.46598e+02 -5.62184e-01 1.56210e-03 1.42487e-04
3.18493e+02 -5.62635e-01 1.26548e-03 1.10411e-04
4.11350e+02 -5.62984e-01 1.02325e-03 8.55417e-05
5.31279e+02 -5.63253e-01 8.25928e-04 6.62652e-05
6.86173e+02 -5.63462e-01 6.65619e-04 5.13262e-05
8.86227e+02 -5.63625e-01 5.35686e-04 3.97503e-05
