#  Kn         Pxy          M          Qx         Qy        Pxx        Pyy        Pzz          T |         fit_errors
 0.03 -3.2729e-02 1.1705e-01 -4.6859e-04 3.8030e-03 1.0549e+00 1.0531e+00 1.0537e+00 1.0542e+00 | 2.06e-04 8.00e-05 1.19e-04 300000
 0.05 -5.2017e-02 1.1269e-01 -8.3744e-04 5.7024e-03 1.0640e+00 1.0578e+00 1.0589e+00 1.0605e+00 | 2.71e-04 1.12e-04 1.73e-04 300000
  0.1 -9.4140e-02 1.0408e-01 -3.4063e-03 9.7243e-03 1.0840e+00 1.0635e+00 1.0688e+00 1.0723e+00 | 2.41e-04 6.76e-05 1.68e-04 300000
  0.2 -1.5919e-01 9.2086e-02 -8.2543e-03 1.4587e-02 1.1238e+00 1.0682e+00 1.0816e+00 1.0913e+00 | 2.64e-04 7.08e-05 1.33e-04 250000
  0.3 -2.0635e-01 8.3656e-02 -1.1557e-02 1.7196e-02 1.1557e+00 1.0667e+00 1.0858e+00 1.1029e+00 | 3.29e-04 1.03e-04 1.98e-04 200000
  0.5 -2.7181e-01 7.2178e-02 -1.5643e-02 1.9354e-02 1.2063e+00 1.0627e+00 1.0882e+00 1.1191e+00 | 2.95e-04 1.26e-04 2.26e-04 180000
    1 -3.5890e-01 5.6737e-02 -1.9465e-02 2.0221e-02 1.2821e+00 1.0522e+00 1.0800e+00 1.1381e+00 | 3.08e-04 1.32e-04 2.27e-04 170000
    2 -4.3165e-01 4.2264e-02 -1.8599e-02 1.8149e-02 1.3498e+00 1.0380e+00 1.0658e+00 1.1513e+00 | 3.47e-04 1.28e-04 2.19e-04 150000
    3 -4.6508e-01 3.4686e-02 -1.6933e-02 1.6272e-02 1.3817e+00 1.0304e+00 1.0540e+00 1.1554e+00 | 3.72e-04 1.63e-04 2.60e-04 150000
    5 -4.9798e-01 2.6582e-02 -1.4542e-02 1.3264e-02 1.4149e+00 1.0222e+00 1.0407e+00 1.1593e+00 | 3.73e-04 1.31e-04 2.73e-04 150000
   10 -5.2749e-01 1.7673e-02 -1.0963e-02 9.4550e-03 1.4482e+00 1.0158e+00 1.0266e+00 1.1636e+00 | 5.22e-04 1.59e-04 3.92e-04 170000
   20 -5.4492e-01 1.1352e-02 -6.8614e-03 6.0407e-03 1.4681e+00 1.0094e+00 1.0168e+00 1.1650e+00 | 3.72e-04 1.34e-04 2.90e-04 180000
   30 -5.5115e-01 8.6330e-03 -5.3507e-03 4.9933e-03 1.4770e+00 1.0070e+00 1.0113e+00 1.1651e+00 | 4.03e-04 1.57e-04 2.63e-04 180000
