#         Kn          Pxy           M           Qx          Qy         Pxx         Pyy         Pzz         tau           P         DU0          DT0          p0        T_B0
3.162280e-03 -1.91997e-03 1.21885e-01 -1.86254e-05 9.36060e-04 7.19658e-04 6.85779e-04 6.96436e-04 4.57510e-02 4.44387e-02 2.15073e+00 -1.12944e+00 1.17775e+00 1.00649e+00
3.981070e-03 -2.41416e-03 1.21691e-01 -2.93735e-05 1.17513e-03 9.12097e-04 8.58586e-04 8.75416e-04 4.60148e-02 4.47127e-02 2.14635e+00 -1.12525e+00 1.17885e+00 1.00815e+00
5.011870e-03 -3.03460e-03 1.21447e-01 -4.62650e-05 1.47418e-03 1.15786e-03 1.07341e-03 1.09997e-03 4.63445e-02 4.50548e-02 2.14087e+00 -1.12002e+00 1.18022e+00 1.01022e+00
6.309570e-03 -3.81296e-03 1.21142e-01 -7.27533e-05 1.84764e-03 1.47272e-03 1.33961e-03 1.38146e-03 4.67554e-02 4.54814e-02 2.13401e+00 -1.11348e+00 1.18193e+00 1.01281e+00
7.943280e-03 -4.78855e-03 1.20758e-01 -1.14177e-04 2.31303e-03 1.87763e-03 1.66809e-03 1.73395e-03 4.72663e-02 4.60116e-02 2.12544e+00 -1.10533e+00 1.18405e+00 1.01603e+00
1.000000e-02 -6.00989e-03 1.20278e-01 -1.78737e-04 2.89144e-03 2.40060e-03 2.07132e-03 2.17478e-03 4.78995e-02 4.66686e-02 2.11474e+00 -1.09518e+00 1.18667e+00 1.02002e+00
1.258930e-02 -7.53663e-03 1.19678e-01 -2.78919e-04 3.60789e-03 3.07941e-03 2.56308e-03 2.72524e-03 4.86810e-02 4.74793e-02 2.10144e+00 -1.08260e+00 1.18992e+00 1.02497e+00
1.584890e-02 -9.44140e-03 1.18929e-01 -4.33530e-04 4.49144e-03 3.96522e-03 3.15781e-03 3.41126e-03 4.96405e-02 4.84742e-02 2.08493e+00 -1.06705e+00 1.19390e+00 1.03107e+00
1.995260e-02 -1.18122e-02 1.17996e-01 -6.70539e-04 5.57517e-03 5.12793e-03 3.86960e-03 4.26436e-03 5.08106e-02 4.96872e-02 2.06451e+00 -1.04794e+00 1.19875e+00 1.03853e+00
2.511890e-02 -1.47538e-02 1.16837e-01 -1.03077e-03 6.89516e-03 6.66311e-03 4.71025e-03 5.32243e-03 5.22255e-02 5.11533e-02 2.03939e+00 -1.02456e+00 1.20461e+00 1.04761e+00
3.162280e-02 -1.83890e-02 1.15403e-01 -1.57250e-03 8.48860e-03 8.70147e-03 5.68650e-03 6.63077e-03 5.39179e-02 5.29061e-02 2.00863e+00 -9.96203e-01 1.21162e+00 1.05854e+00
3.981070e-02 -2.28587e-02 1.13637e-01 -2.37644e-03 1.03904e-02 1.14213e-02 6.79638e-03 8.24332e-03 5.59140e-02 5.49722e-02 1.97124e+00 -9.62092e-01 1.21989e+00 1.07156e+00
5.011870e-02 -2.83187e-02 1.11476e-01 -3.55008e-03 1.26274e-02 1.50636e-02 8.02470e-03 1.02241e-02 5.82266e-02 5.73645e-02 1.92613e+00 -9.21521e-01 1.22946e+00 1.08684e+00
6.309570e-02 -3.49334e-02 1.08851e-01 -5.22899e-03 1.52101e-02 1.99496e-02 9.33881e-03 1.26495e-02 6.08441e-02 6.00706e-02 1.87226e+00 -8.73911e-01 1.24028e+00 1.10444e+00
7.943280e-02 -4.28637e-02 1.05693e-01 -7.57162e-03 1.81216e-02 2.64982e-02 1.06866e-02 1.56118e-02 6.37181e-02 6.30404e-02 1.80866e+00 -8.18946e-01 1.25216e+00 1.12423e+00
1.000000e-01 -5.22474e-02 1.01940e-01 -1.07427e-02 2.13043e-02 3.52407e-02 1.20002e-02 1.92261e-02 6.67491e-02 6.61717e-02 1.73461e+00 -7.56712e-01 1.26469e+00 1.14583e+00
1.258930e-01 -6.31733e-02 9.75424e-02 -1.48808e-02 2.46483e-02 4.68248e-02 1.32111e-02 2.36414e-02 6.97752e-02 6.92988e-02 1.64972e+00 -6.87842e-01 1.27720e+00 1.16852e+00
1.584890e-01 -7.56477e-02 9.24799e-02 -2.00490e-02 2.79836e-02 6.20033e-02 1.42813e-02 2.90583e-02 7.25676e-02 7.21884e-02 1.55417e+00 -6.13627e-01 1.28875e+00 1.19121e+00
1.995260e-01 -8.95651e-02 8.67678e-02 -2.61768e-02 3.10855e-02 8.16036e-02 1.52579e-02 3.57575e-02 7.48415e-02 7.45517e-02 1.44878e+00 -5.36016e-01 1.29821e+00 1.21246e+00
2.511890e-01 -7.75838e-02 5.56393e-02 -9.44561e-03 1.74249e-02 8.02753e-02 3.65074e-02 5.01752e-02 1.21063e-01 1.21020e-01 9.46764e-01 -2.25462e-01 1.48408e+00 1.44814e+00
3.162280e-01 4.65759e-01 -1.54142e-01 3.53617e-01 2.91507e-01 3.78133e-01 -1.71733e-01 3.78721e-03 8.26554e-01 8.25646e-01 -2.78030e+00 -1.85468e+00 4.30258e+00 4.02042e+00
