#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.68184e-01 1.63216e-01 1.63535e-01 1.63692e-01
8.33333e-03 1.68185e-01 1.63216e-01 1.63535e-01 1.63691e-01
2.50000e-02 1.68194e-01 1.63215e-01 1.63531e-01 1.63683e-01
4.16667e-02 1.68190e-01 1.63212e-01 1.63526e-01 1.63667e-01
5.83333e-02 1.68149e-01 1.63207e-01 1.63517e-01 1.63643e-01
7.50000e-02 1.68101e-01 1.63203e-01 1.63506e-01 1.63612e-01
9.16667e-02 1.68105e-01 1.63196e-01 1.63493e-01 1.63573e-01
1.08333e-01 1.68133e-01 1.63189e-01 1.63479e-01 1.63528e-01
1.25000e-01 1.68148e-01 1.63178e-01 1.63462e-01 1.63476e-01
1.41667e-01 1.68149e-01 1.63165e-01 1.63442e-01 1.63417e-01
1.58333e-01 1.68170e-01 1.63150e-01 1.63420e-01 1.63351e-01
1.75000e-01 1.68179e-01 1.63133e-01 1.63396e-01 1.63276e-01
1.91667e-01 1.68172e-01 1.63116e-01 1.63369e-01 1.63194e-01
2.08333e-01 1.68217e-01 1.63098e-01 1.63342e-01 1.63105e-01
2.25000e-01 1.68176e-01 1.63080e-01 1.63312e-01 1.63009e-01
2.41667e-01 1.68116e-01 1.63063e-01 1.63282e-01 1.62907e-01
2.58333e-01 1.68081e-01 1.63046e-01 1.63251e-01 1.62798e-01
2.75000e-01 1.68005e-01 1.63027e-01 1.63219e-01 1.62681e-01
2.91667e-01 1.67966e-01 1.63007e-01 1.63184e-01 1.62556e-01
3.08333e-01 1.67949e-01 1.62986e-01 1.63148e-01 1.62423e-01
3.25000e-01 1.67915e-01 1.62964e-01 1.63108e-01 1.62281e-01
3.41667e-01 1.67842e-01 1.62943e-01 1.63065e-01 1.62130e-01
3.58333e-01 1.67911e-01 1.62920e-01 1.63019e-01 1.61972e-01
3.75000e-01 1.67856e-01 1.62899e-01 1.62972e-01 1.61811e-01
3.91667e-01 1.67854e-01 1.62876e-01 1.62926e-01 1.61649e-01
4.08333e-01 1.67855e-01 1.62856e-01 1.62882e-01 1.61485e-01
4.25000e-01 1.67908e-01 1.62839e-01 1.62842e-01 1.61321e-01
4.41667e-01 1.67886e-01 1.62829e-01 1.62808e-01 1.61163e-01
4.58333e-01 1.67839e-01 1.62833e-01 1.62785e-01 1.61024e-01
4.75000e-01 1.68055e-01 1.62852e-01 1.62782e-01 1.60918e-01
4.91667e-01 1.67999e-01 1.62896e-01 1.62809e-01 1.60891e-01
5.00000e-01 1.67869e-01 1.62929e-01 1.62832e-01 1.60907e-01
