#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 4.16773e-01 4.33028e-01 4.35986e-01 4.42869e-01
8.33333e-03 4.16766e-01 4.33028e-01 4.35985e-01 4.42867e-01
2.50000e-02 4.16708e-01 4.33028e-01 4.35981e-01 4.42853e-01
4.16667e-02 4.16766e-01 4.33028e-01 4.35974e-01 4.42826e-01
5.83333e-02 4.16824e-01 4.33030e-01 4.35967e-01 4.42785e-01
7.50000e-02 4.16805e-01 4.33033e-01 4.35959e-01 4.42732e-01
9.16667e-02 4.16824e-01 4.33036e-01 4.35952e-01 4.42664e-01
1.08333e-01 4.16863e-01 4.33043e-01 4.35946e-01 4.42581e-01
1.25000e-01 4.16805e-01 4.33050e-01 4.35939e-01 4.42481e-01
1.41667e-01 4.16805e-01 4.33056e-01 4.35931e-01 4.42362e-01
1.58333e-01 4.16902e-01 4.33063e-01 4.35920e-01 4.42225e-01
1.75000e-01 4.16825e-01 4.33071e-01 4.35906e-01 4.42072e-01
1.91667e-01 4.16864e-01 4.33082e-01 4.35890e-01 4.41905e-01
2.08333e-01 4.16806e-01 4.33097e-01 4.35875e-01 4.41726e-01
2.25000e-01 4.16730e-01 4.33115e-01 4.35861e-01 4.41536e-01
2.41667e-01 4.16864e-01 4.33142e-01 4.35850e-01 4.41337e-01
2.58333e-01 4.16961e-01 4.33173e-01 4.35840e-01 4.41131e-01
2.75000e-01 4.16922e-01 4.33209e-01 4.35834e-01 4.40915e-01
2.91667e-01 4.17019e-01 4.33250e-01 4.35831e-01 4.40687e-01
3.08333e-01 4.17058e-01 4.33295e-01 4.35830e-01 4.40444e-01
3.25000e-01 4.17058e-01 4.33346e-01 4.35832e-01 4.40186e-01
3.41667e-01 4.17077e-01 4.33402e-01 4.35838e-01 4.39916e-01
3.58333e-01 4.17136e-01 4.33469e-01 4.35851e-01 4.39642e-01
3.75000e-01 4.17175e-01 4.33548e-01 4.35876e-01 4.39368e-01
3.91667e-01 4.17464e-01 4.33642e-01 4.35915e-01 4.39100e-01
4.08333e-01 4.17637e-01 4.33756e-01 4.35974e-01 4.38843e-01
4.25000e-01 4.17734e-01 4.33899e-01 4.36059e-01 4.38608e-01
4.41667e-01 4.17927e-01 4.34078e-01 4.36178e-01 4.38417e-01
4.58333e-01 4.18140e-01 4.34314e-01 4.36354e-01 4.38310e-01
4.75000e-01 4.18449e-01 4.34628e-01 4.36622e-01 4.38331e-01
4.91667e-01 4.18911e-01 4.35055e-01 4.37013e-01 4.38619e-01
5.00000e-01 4.19200e-01 4.35311e-01 4.37254e-01 4.38863e-01
