#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 -5.25102e-01 -5.28352e-01 -5.36385e-01 -5.65034e-01
8.33333e-03 -5.25102e-01 -5.28352e-01 -5.36385e-01 -5.65035e-01
2.50000e-02 -5.25102e-01 -5.28354e-01 -5.36385e-01 -5.65039e-01
4.16667e-02 -5.25102e-01 -5.28356e-01 -5.36385e-01 -5.65044e-01
5.83333e-02 -5.25101e-01 -5.28359e-01 -5.36385e-01 -5.65048e-01
7.50000e-02 -5.25101e-01 -5.28361e-01 -5.36385e-01 -5.65050e-01
9.16667e-02 -5.25100e-01 -5.28363e-01 -5.36386e-01 -5.65049e-01
1.08333e-01 -5.25099e-01 -5.28364e-01 -5.36387e-01 -5.65045e-01
1.25000e-01 -5.25099e-01 -5.28363e-01 -5.36388e-01 -5.65040e-01
1.41667e-01 -5.25099e-01 -5.28361e-01 -5.36389e-01 -5.65035e-01
1.58333e-01 -5.25099e-01 -5.28359e-01 -5.36388e-01 -5.65031e-01
1.75000e-01 -5.25100e-01 -5.28357e-01 -5.36387e-01 -5.65027e-01
1.91667e-01 -5.25101e-01 -5.28355e-01 -5.36386e-01 -5.65023e-01
2.08333e-01 -5.25102e-01 -5.28355e-01 -5.36384e-01 -5.65021e-01
2.25000e-01 -5.25102e-01 -5.28355e-01 -5.36383e-01 -5.65018e-01
2.41667e-01 -5.25103e-01 -5.28355e-01 -5.36385e-01 -5.65018e-01
2.58333e-01 -5.25103e-01 -5.28356e-01 -5.36387e-01 -5.65021e-01
2.75000e-01 -5.25103e-01 -5.28358e-01 -5.36389e-01 -5.65024e-01
2.91667e-01 -5.25103e-01 -5.28359e-01 -5.36389e-01 -5.65024e-01
3.08333e-01 -5.25103e-01 -5.28361e-01 -5.36387e-01 -5.65019e-01
3.25000e-01 -5.25103e-01 -5.28362e-01 -5.36383e-01 -5.65006e-01
3.41667e-01 -5.25104e-01 -5.28363e-01 -5.36380e-01 -5.64991e-01
3.58333e-01 -5.25103e-01 -5.28363e-01 -5.36375e-01 -5.64977e-01
3.75000e-01 -5.25103e-01 -5.28362e-01 -5.36371e-01 -5.64969e-01
3.91667e-01 -5.25101e-01 -5.28361e-01 -5.36366e-01 -5.64970e-01
4.08333e-01 -5.25100e-01 -5.28359e-01 -5.36362e-01 -5.64978e-01
4.25000e-01 -5.25099e-01 -5.28357e-01 -5.36358e-01 -5.64991e-01
4.41667e-01 -5.25097e-01 -5.28354e-01 -5.36356e-01 -5.65010e-01
4.58333e-01 -5.25094e-01 -5.28351e-01 -5.36354e-01 -5.65039e-01
4.75000e-01 -5.25088e-01 -5.28344e-01 -5.36347e-01 -5.65054e-01
4.91667e-01 -5.25069e-01 -5.28318e-01 -5.36315e-01 -5.65082e-01
5.00000e-01 -5.25056e-01 -5.28297e-01 -5.36290e-01 -5.65101e-01
