#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 1.99295e-02 3.37626e-02 3.44965e-02 3.59059e-02
8.26918e-03 1.99223e-02 3.37597e-02 3.44931e-02 3.59021e-02
2.48076e-02 1.98646e-02 3.37359e-02 3.44659e-02 3.58723e-02
4.13459e-02 1.96531e-02 3.36895e-02 3.44110e-02 3.58120e-02
5.78843e-02 1.95954e-02 3.36192e-02 3.43295e-02 3.57208e-02
7.44227e-02 1.95377e-02 3.35204e-02 3.42220e-02 3.55984e-02
9.09610e-02 1.93454e-02 3.33961e-02 3.40884e-02 3.54443e-02
1.07499e-01 1.92109e-02 3.32454e-02 3.39277e-02 3.52583e-02
1.24038e-01 1.91340e-02 3.30638e-02 3.37400e-02 3.50398e-02
1.40576e-01 1.89802e-02 3.28527e-02 3.35245e-02 3.47880e-02
1.57115e-01 1.86918e-02 3.26142e-02 3.32808e-02 3.45031e-02
1.73653e-01 1.84995e-02 3.23476e-02 3.30077e-02 3.41844e-02
1.90191e-01 1.80957e-02 3.20519e-02 3.27039e-02 3.38311e-02
2.06730e-01 1.78458e-02 3.17255e-02 3.23681e-02 3.34418e-02
2.23268e-01 1.76151e-02 3.13693e-02 3.19982e-02 3.30149e-02
2.39806e-01 1.69805e-02 3.09789e-02 3.15916e-02 3.25475e-02
2.56345e-01 1.66921e-02 3.05558e-02 3.11475e-02 3.20381e-02
2.72883e-01 1.61730e-02 3.00945e-02 3.06646e-02 3.14846e-02
2.89421e-01 1.55961e-02 2.95970e-02 3.01398e-02 3.08842e-02
3.05960e-01 1.50000e-02 2.90555e-02 2.95710e-02 3.02337e-02
3.22498e-01 1.45385e-02 2.84696e-02 2.89540e-02 2.95292e-02
3.39037e-01 1.38463e-02 2.78333e-02 2.82849e-02 2.87657e-02
3.55575e-01 1.33079e-02 2.71410e-02 2.75600e-02 2.79365e-02
3.72103e-01 1.24811e-02 2.63864e-02 2.67724e-02 2.70356e-02
3.88437e-01 1.15965e-02 2.55712e-02 2.59221e-02 2.60654e-02
4.04358e-01 1.07504e-02 2.47076e-02 2.50127e-02 2.50319e-02
4.19848e-01 9.80814e-03 2.37820e-02 2.40372e-02 2.39273e-02
4.34961e-01 8.92356e-03 2.27832e-02 2.29835e-02 2.27347e-02
4.49756e-01 7.65433e-03 2.16868e-02 2.18318e-02 2.14277e-02
4.64298e-01 6.42354e-03 2.04581e-02 2.05428e-02 1.99637e-02
4.78654e-01 4.84656e-03 1.90388e-02 1.90487e-02 1.82698e-02
4.92897e-01 3.17339e-03 1.73049e-02 1.72326e-02 1.62261e-02
5.00000e-01 2.29861e-03 1.63191e-02 1.62027e-02 1.50718e-02
