#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.16157e-03 -2.04982e-05 -1.84794e-04 -6.85089e-04 -3.98856e-03
2.44847e-02 -6.17590e-05 -5.54616e-04 -2.05550e-03 -1.19681e-02
4.08078e-02 -1.03835e-04 -9.25109e-04 -3.42589e-03 -1.99549e-02
5.71310e-02 -1.47326e-04 -1.29665e-03 -4.79676e-03 -2.79523e-02
7.34541e-02 -1.92802e-04 -1.66978e-03 -6.16844e-03 -3.59648e-02
8.97772e-02 -2.40834e-04 -2.04489e-03 -7.54114e-03 -4.39969e-02
1.06100e-01 -2.92139e-04 -2.42266e-03 -8.91504e-03 -5.20516e-02
1.22423e-01 -3.47431e-04 -2.80354e-03 -1.02901e-02 -6.01316e-02
1.38747e-01 -4.07534e-04 -3.18812e-03 -1.16666e-02 -6.82402e-02
1.55070e-01 -4.73310e-04 -3.57716e-03 -1.30448e-02 -7.63786e-02
1.71393e-01 -5.45676e-04 -3.97126e-03 -1.44247e-02 -8.45486e-02
1.87716e-01 -6.25784e-04 -4.37135e-03 -1.58070e-02 -9.27482e-02
2.04039e-01 -7.14847e-04 -4.77864e-03 -1.71913e-02 -1.00978e-01
2.20362e-01 -8.14356e-04 -5.19418e-03 -1.85780e-02 -1.09238e-01
2.36685e-01 -9.25995e-04 -5.61942e-03 -1.99676e-02 -1.17522e-01
2.53009e-01 -1.05172e-03 -6.05578e-03 -2.13599e-02 -1.25824e-01
2.69332e-01 -1.19381e-03 -6.50503e-03 -2.27561e-02 -1.34132e-01
2.85655e-01 -1.35497e-03 -6.96906e-03 -2.41561e-02 -1.42437e-01
3.01978e-01 -1.53824e-03 -7.45045e-03 -2.55600e-02 -1.50716e-01
3.18301e-01 -1.74719e-03 -7.95204e-03 -2.69671e-02 -1.58932e-01
3.34509e-01 -1.98417e-03 -8.47322e-03 -2.83655e-02 -1.66964e-01
3.49962e-01 -2.24222e-03 -8.99384e-03 -2.96936e-02 -1.74423e-01
3.64119e-01 -2.51160e-03 -9.49666e-03 -3.09135e-02 -1.81093e-01
3.77028e-01 -2.78912e-03 -9.98014e-03 -3.20288e-02 -1.86986e-01
3.88800e-01 -3.07280e-03 -1.04463e-02 -3.30508e-02 -1.92160e-01
3.99535e-01 -3.36089e-03 -1.08966e-02 -3.39868e-02 -1.96663e-01
4.09326e-01 -3.65196e-03 -1.13317e-02 -3.48450e-02 -2.00554e-01
4.18257e-01 -3.94522e-03 -1.17514e-02 -3.56324e-02 -2.03890e-01
4.26405e-01 -4.23981e-03 -1.21554e-02 -3.63553e-02 -2.06724e-01
4.33841e-01 -4.53356e-03 -1.25441e-02 -3.70194e-02 -2.09102e-01
4.40627e-01 -4.82451e-03 -1.29178e-02 -3.76300e-02 -2.11065e-01
4.46822e-01 -5.11182e-03 -1.32771e-02 -3.81925e-02 -2.12653e-01
4.52481e-01 -5.39567e-03 -1.36233e-02 -3.87119e-02 -2.13914e-01
4.57652e-01 -5.67584e-03 -1.39578e-02 -3.91924e-02 -2.14880e-01
4.62380e-01 -5.95137e-03 -1.42812e-02 -3.96364e-02 -2.15585e-01
4.66706e-01 -6.22159e-03 -1.45937e-02 -4.00466e-02 -2.16060e-01
4.70668e-01 -6.48627e-03 -1.48951e-02 -4.04267e-02 -2.16326e-01
4.74302e-01 -6.74554e-03 -1.51860e-02 -4.07812e-02 -2.16409e-01
4.77640e-01 -6.99976e-03 -1.54686e-02 -4.11130e-02 -2.16325e-01
4.80712e-01 -7.25001e-03 -1.57462e-02 -4.14250e-02 -2.16094e-01
4.83548e-01 -7.49800e-03 -1.60200e-02 -4.17206e-02 -2.15736e-01
4.86175e-01 -7.74546e-03 -1.62895e-02 -4.20031e-02 -2.15262e-01
4.88619e-01 -7.99394e-03 -1.65562e-02 -4.22762e-02 -2.14672e-01
4.90908e-01 -8.24599e-03 -1.68240e-02 -4.25449e-02 -2.13950e-01
4.93066e-01 -8.50649e-03 -1.70990e-02 -4.28172e-02 -2.13087e-01
4.95122e-01 -8.78421e-03 -1.73909e-02 -4.31018e-02 -2.12072e-01
4.97103e-01 -9.09391e-03 -1.77166e-02 -4.34130e-02 -2.10843e-01
4.99040e-01 -9.46507e-03 -1.81057e-02 -4.37846e-02 -2.09422e-01
5.00000e-01 -9.67433e-03 -1.83247e-02 -4.39937e-02 -2.08637e-01
