#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.26918e-03 -3.46629e-03 -1.23308e-03 -2.17072e-03 -7.18544e-03
2.48076e-02 -1.04028e-02 -3.69945e-03 -6.51239e-03 -2.15440e-02
4.13459e-02 -1.73516e-02 -6.16654e-03 -1.08544e-02 -3.58631e-02
5.78843e-02 -2.43200e-02 -8.63527e-03 -1.51962e-02 -5.01112e-02
7.44227e-02 -3.13140e-02 -1.11068e-02 -1.95372e-02 -6.42636e-02
9.09610e-02 -3.83377e-02 -1.35822e-02 -2.38764e-02 -7.82920e-02
1.07499e-01 -4.53955e-02 -1.60627e-02 -2.82127e-02 -9.21669e-02
1.24038e-01 -5.24948e-02 -1.85489e-02 -3.25453e-02 -1.05861e-01
1.40576e-01 -5.96443e-02 -2.10418e-02 -3.68736e-02 -1.19352e-01
1.57115e-01 -6.68547e-02 -2.35418e-02 -4.11975e-02 -1.32616e-01
1.73653e-01 -7.41371e-02 -2.60499e-02 -4.55173e-02 -1.45631e-01
1.90191e-01 -8.14997e-02 -2.85673e-02 -4.98336e-02 -1.58369e-01
2.06730e-01 -8.89507e-02 -3.10959e-02 -5.41467e-02 -1.70806e-01
2.23268e-01 -9.64987e-02 -3.36378e-02 -5.84572e-02 -1.82922e-01
2.39806e-01 -1.04154e-01 -3.61951e-02 -6.27655e-02 -1.94692e-01
2.56345e-01 -1.11932e-01 -3.87698e-02 -6.70720e-02 -2.06097e-01
2.72883e-01 -1.19848e-01 -4.13639e-02 -7.13778e-02 -2.17115e-01
2.89421e-01 -1.27922e-01 -4.39799e-02 -7.56841e-02 -2.27728e-01
3.05960e-01 -1.36172e-01 -4.66212e-02 -7.99930e-02 -2.37918e-01
3.22498e-01 -1.44620e-01 -4.92929e-02 -8.43070e-02 -2.47669e-01
3.39037e-01 -1.53295e-01 -5.19995e-02 -8.86300e-02 -2.56962e-01
3.55575e-01 -1.62236e-01 -5.47461e-02 -9.29672e-02 -2.65783e-01
3.72103e-01 -1.71476e-01 -5.75375e-02 -9.73227e-02 -2.74110e-01
3.88437e-01 -1.80950e-01 -6.03518e-02 -1.01656e-01 -2.81844e-01
4.04358e-01 -1.90567e-01 -6.31637e-02 -1.05920e-01 -2.88903e-01
4.19848e-01 -2.00370e-01 -6.59831e-02 -1.10127e-01 -2.95313e-01
4.34961e-01 -2.10481e-01 -6.88368e-02 -1.14313e-01 -3.01135e-01
4.49756e-01 -2.21076e-01 -7.17643e-02 -1.18536e-01 -3.06444e-01
4.64298e-01 -2.32416e-01 -7.48329e-02 -1.22881e-01 -3.11347e-01
4.78654e-01 -2.44888e-01 -7.81523e-02 -1.27481e-01 -3.15941e-01
4.92897e-01 -2.59753e-01 -8.19270e-02 -1.32607e-01 -3.20610e-01
5.00000e-01 -2.68092e-01 -8.39885e-02 -1.35372e-01 -3.22980e-01
