#         x       U=0.1       U=1.0       U=2.0       U=5.0
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.16157e-03 -6.09419e-04 -6.34733e-04 -6.87364e-04 -9.18586e-04
2.44847e-02 -1.82865e-03 -1.90421e-03 -2.06210e-03 -2.75598e-03
4.08078e-02 -3.04826e-03 -3.17373e-03 -3.43766e-03 -4.59464e-03
5.71310e-02 -4.26795e-03 -4.44370e-03 -4.81366e-03 -6.43595e-03
7.34541e-02 -5.48746e-03 -5.71377e-03 -6.19025e-03 -8.28061e-03
8.97772e-02 -6.70639e-03 -6.98440e-03 -7.56762e-03 -1.01289e-02
1.06100e-01 -7.92531e-03 -8.25547e-03 -8.94618e-03 -1.19828e-02
1.22423e-01 -9.14496e-03 -9.52713e-03 -1.03267e-02 -1.38428e-02
1.38747e-01 -1.03655e-02 -1.07996e-02 -1.17084e-02 -1.57098e-02
1.55070e-01 -1.15866e-02 -1.20731e-02 -1.30919e-02 -1.75850e-02
1.71393e-01 -1.28088e-02 -1.33480e-02 -1.44778e-02 -1.94692e-02
1.87716e-01 -1.40318e-02 -1.46243e-02 -1.58662e-02 -2.13635e-02
2.04039e-01 -1.52548e-02 -1.59021e-02 -1.72576e-02 -2.32692e-02
2.20362e-01 -1.64776e-02 -1.71815e-02 -1.86516e-02 -2.51878e-02
2.36685e-01 -1.77006e-02 -1.84633e-02 -2.00498e-02 -2.71204e-02
2.53009e-01 -1.89256e-02 -1.97469e-02 -2.14516e-02 -2.90670e-02
2.69332e-01 -2.01549e-02 -2.10327e-02 -2.28576e-02 -3.10296e-02
2.85655e-01 -2.13901e-02 -2.23216e-02 -2.42675e-02 -3.30103e-02
3.01978e-01 -2.26313e-02 -2.36148e-02 -2.56833e-02 -3.50090e-02
3.18301e-01 -2.38775e-02 -2.49131e-02 -2.71055e-02 -3.70266e-02
3.34509e-01 -2.51184e-02 -2.62066e-02 -2.85236e-02 -3.90437e-02
3.49962e-01 -2.63045e-02 -2.74458e-02 -2.98840e-02 -4.09866e-02
3.64119e-01 -2.73927e-02 -2.85883e-02 -3.11406e-02 -4.27942e-02
3.77028e-01 -2.83884e-02 -2.96364e-02 -3.22939e-02 -4.44618e-02
3.88800e-01 -2.93080e-02 -3.06000e-02 -3.33531e-02 -4.59985e-02
3.99535e-01 -3.01614e-02 -3.14870e-02 -3.43274e-02 -4.74131e-02
4.09326e-01 -3.09479e-02 -3.23045e-02 -3.52247e-02 -4.87152e-02
4.18257e-01 -3.16623e-02 -3.30586e-02 -3.60522e-02 -4.99183e-02
4.26405e-01 -3.23072e-02 -3.37543e-02 -3.68153e-02 -5.10318e-02
4.33841e-01 -3.29020e-02 -3.43955e-02 -3.75189e-02 -5.20609e-02
4.40627e-01 -3.34684e-02 -3.49865e-02 -3.81679e-02 -5.30091e-02
4.46822e-01 -3.40117e-02 -3.55320e-02 -3.87679e-02 -5.38829e-02
4.52481e-01 -3.45227e-02 -3.60372e-02 -3.93244e-02 -5.46895e-02
4.57652e-01 -3.49956e-02 -3.65068e-02 -3.98413e-02 -5.54348e-02
4.62380e-01 -3.54335e-02 -3.69445e-02 -4.03216e-02 -5.61239e-02
4.66706e-01 -3.58387e-02 -3.73542e-02 -4.07675e-02 -5.67630e-02
4.70668e-01 -3.62061e-02 -3.77387e-02 -4.11826e-02 -5.73578e-02
4.74302e-01 -3.65357e-02 -3.80995e-02 -4.15714e-02 -5.79130e-02
4.77640e-01 -3.68443e-02 -3.84388e-02 -4.19383e-02 -5.84323e-02
4.80712e-01 -3.71473e-02 -3.87593e-02 -4.22873e-02 -5.89220e-02
4.83548e-01 -3.74361e-02 -3.90640e-02 -4.26201e-02 -5.93892e-02
4.86175e-01 -3.77039e-02 -3.93564e-02 -4.29381e-02 -5.98375e-02
4.88619e-01 -3.79639e-02 -3.96400e-02 -4.32442e-02 -6.02706e-02
4.90908e-01 -3.82238e-02 -3.99177e-02 -4.35428e-02 -6.06898e-02
4.93066e-01 -3.84874e-02 -4.01926e-02 -4.38402e-02 -6.11039e-02
4.95122e-01 -3.87637e-02 -4.04709e-02 -4.41428e-02 -6.15210e-02
4.97103e-01 -3.90601e-02 -4.07606e-02 -4.44583e-02 -6.19451e-02
4.99040e-01 -3.93615e-02 -4.10630e-02 -4.47827e-02 -6.23545e-02
5.00000e-01 -3.95154e-02 -4.12200e-02 -4.49496e-02 -6.25557e-02
