#      phi      T0    U1_t
0.3 0.99984 0
0.3037 1.0383 0
0.30785 1.0792 0
0.31251 1.1241 0
0.31774 1.1733 0
0.32361 1.2271 0
0.33019 1.2859 0
0.33757 1.3499 0
0.34586 1.4197 0
0.35515 1.4954 0
0.36559 1.5776 0
0.37729 1.6666 0
0.39042 1.7628 0
0.40516 1.8664 0
0.42169 1.9779 0
0.44024 2.0975 0
0.46105 2.2255 0
0.4844 2.3619 0
0.5106 2.5068 0
0.54 2.6577 0
0.57111 2.8079 0
0.60222 2.9511 0
0.63333 3.0861 0
0.66444 3.2134 0
0.69556 3.3338 0
0.72667 3.4476 0
0.75778 3.5554 0
0.78889 3.6575 0
0.82 3.7543 0
0.85111 3.8461 0
0.88222 3.9332 0
0.91333 4.0159 0
0.94444 4.0945 0
0.97556 4.1691 0
1.0067 4.2401 0
1.0378 4.3076 0
1.0689 4.3718 0
1.1 4.4328 0
1.1311 4.4909 0
1.1622 4.5462 0
1.1933 4.5988 0
1.2244 4.6489 0
1.2556 4.6965 0
1.2867 4.7419 0
1.3178 4.7852 0
1.3489 4.8264 0
1.38 4.8649 0
1.4089 4.8988 0
1.4326 4.9264 0
1.452 4.9482 0
1.4678 4.9656 0
1.4808 4.9795 0
1.4913 4.9906 0
1.5 4.9994 0
