#      phi   TMean UMean_t
0.3 1.0858 -0.0083097
0.3037 1.1361 -0.0091258
0.30785 1.1805 -0.0014672
0.31251 1.2249 -0.0011759
0.31774 1.2717 -0.0010722
0.32361 1.322 -0.0010708
0.33019 1.3764 -0.00091733
0.33757 1.4357 -0.00040099
0.34586 1.5002 0.000443
0.35515 1.5703 0.0014222
0.36559 1.6465 0.0025866
0.37729 1.7292 0.004186
0.39042 1.8187 0.0062892
0.40515 1.9154 0.0088806
0.42169 2.0196 0.011566
0.44024 2.1317 0.014488
0.46105 2.2517 0.017857
0.4844 2.3798 0.0212
0.5106 2.5163 0.025827
0.54 2.6591 0.03181
0.57111 2.802 0.036562
0.60222 2.939 0.038712
0.63333 3.0684 0.039025
0.66444 3.1906 0.03859
0.69556 3.3062 0.037866
0.72667 3.4158 0.036874
0.75778 3.5197 0.035718
0.78889 3.6183 0.034404
0.82 3.7119 0.032725
0.85111 3.8009 0.030895
0.88222 3.8856 0.028978
0.91333 3.9661 0.026957
0.94444 4.0427 0.024793
0.97556 4.1157 0.022536
1.0067 4.1853 0.020261
1.0378 4.2515 0.017992
1.0689 4.3147 0.015771
1.1 4.3749 0.013637
1.1311 4.4324 0.01162
1.1622 4.4872 0.0097472
1.1933 4.5395 0.0080174
1.2244 4.5895 0.0064193
1.2556 4.6372 0.0049575
1.2867 4.6827 0.0036849
1.3178 4.7263 0.0026403
1.3489 4.7679 0.0018599
1.38 4.8073 0.0013202
1.4089 4.8423 0.00072848
1.4326 4.8713 -6.0347e-05
1.452 4.8949 -0.00078299
1.4678 4.9144 -0.0013165
1.4808 4.931 -0.0017162
1.4913 4.9463 -0.0029593
1.5 4.9619 -0.0020942
