#      phi      T0    U1_t
0.7 1.0085 0
0.70092 1.0348 0
0.70196 1.0718 0
0.70313 1.1123 0
0.70443 1.1564 0
0.7059 1.2044 0
0.70755 1.2567 0
0.70939 1.3133 0
0.71147 1.3746 0
0.71379 1.4409 0
0.7164 1.5123 0
0.71932 1.5892 0
0.7226 1.6718 0
0.72629 1.7603 0
0.73042 1.8551 0
0.73506 1.9563 0
0.74026 2.0643 0
0.7461 2.1792 0
0.75265 2.3012 0
0.76 2.4287 0
0.76778 2.5563 0
0.77556 2.679 0
0.78333 2.7959 0
0.79111 2.9076 0
0.79889 3.0148 0
0.80667 3.1179 0
0.81444 3.2172 0
0.82222 3.3133 0
0.83 3.4062 0
0.83778 3.4965 0
0.84556 3.5841 0
0.85333 3.6694 0
0.86111 3.7525 0
0.86889 3.8337 0
0.87667 3.9129 0
0.88444 3.9904 0
0.89222 4.0664 0
0.9 4.1408 0
0.90778 4.2138 0
0.91556 4.2856 0
0.92333 4.3561 0
0.93111 4.4254 0
0.93889 4.4937 0
0.94667 4.561 0
0.95444 4.6274 0
0.96222 4.6929 0
0.97 4.7564 0
0.97724 4.8143 0
0.98316 4.8629 0
0.988 4.9024 0
0.99195 4.9345 0
0.99519 4.9606 0
0.99784 4.9819 0
1 4.9957 0
