#      phi      T0    U1_t
0 5 0
0.055731 5 0
0.10924 5 0
0.16061 5 0
0.20968 5 0
0.25689 5 0
0.30246 5 0
0.34656 5 0
0.38929 5 0
0.43076 5 0
0.47121 5 0
0.51077 5 0
0.54951 5 0
0.58752 5 0
0.62485 5 0
0.66155 5 0
0.69768 5 0
0.73325 5 0
0.76829 5 0
0.80282 5 0
0.83684 5 0
0.87037 5 0
0.90341 5 0
0.93595 5 0
0.968 5 0
0.99954 5 0
1.0306 5 0
1.0611 5 0
1.0911 5 0
1.1205 5 0
1.1493 5 0
1.1776 5 0
1.2053 5 0
1.2325 5 0
1.2591 5 0
1.2851 5 0
1.3105 5 0
1.3354 5 0
1.3597 5 0
1.3834 5 0
1.4065 5 0
1.4289 5 0
1.4509 5 0
1.4722 5 0
1.493 5 0
1.5133 5 0
1.533 5 0
1.5521 5 0
1.5708 5 0
