#      phi   TMean UMean_t
0 4.9732 0
0.055731 4.9725 0.0017062
0.10924 4.9714 0.0018862
0.16061 4.97 0.0031067
0.20968 4.9679 0.004
0.25689 4.9655 0.0048822
0.30246 4.9626 0.0057993
0.34656 4.9595 0.0069099
0.38929 4.956 0.008019
0.43076 4.9523 0.0092803
0.47121 4.9484 0.010391
0.51077 4.9441 0.011373
0.54951 4.9397 0.013166
0.58751 4.935 0.014333
0.62485 4.9301 0.015131
0.66155 4.925 0.017285
0.69768 4.9197 0.018835
0.73325 4.9142 0.019534
0.76829 4.9084 0.021403
0.80282 4.9025 0.023565
0.83684 4.8963 0.024798
0.87037 4.89 0.026093
0.90341 4.8834 0.02801
0.93595 4.8766 0.029786
0.968 4.8697 0.031126
0.99954 4.8626 0.032485
1.0306 4.8553 0.033967
1.0611 4.8479 0.035263
1.0911 4.8403 0.036264
1.1205 4.8327 0.037104
1.1493 4.8251 0.037887
1.1776 4.8174 0.038389
1.2053 4.8098 0.038482
1.2325 4.8023 0.038454
1.2591 4.795 0.038093
1.2851 4.7878 0.0372
1.3105 4.781 0.036048
1.3354 4.7745 0.034449
1.3597 4.7684 0.032389
1.3834 4.7627 0.030037
1.4065 4.7576 0.027259
1.4289 4.7531 0.024112
1.4509 4.7492 0.020794
1.4722 4.7458 0.017537
1.493 4.7432 0.014524
1.5133 4.7412 0.011712
1.533 4.7398 0.0084042
1.5521 4.7391 0.0038403
1.5708 4.7389 0
