#eta    Y_0     Y_1/2   Omega_1 -Theta_1    H_A     H_B  Y_{a4}
0.00000 0.34522 0.44508 0.51641 0.73783 0.13384 1.38948 0.29625
0.02503 0.30466 0.41870 0.46886 0.67376 0.12660 1.28950 0.28278
0.05011 0.28008 0.40046 0.43974 0.63360 0.12161 1.22172 0.27284
0.10108 0.24424 0.37107 0.39661 0.57323 0.11350 1.11477 0.25613
0.15138 0.21806 0.34744 0.36451 0.52766 0.10689 1.03068 0.24218
0.20226 0.19691 0.32686 0.33809 0.48977 0.10107 0.95884 0.22971
0.30081 0.16525 0.29328 0.29753 0.43097 0.09143 0.84434 0.20878
0.41305 0.13848 0.26186 0.26200 0.37886 0.08226 0.74030 0.18860
0.60049 0.10657 0.21995 0.21757 0.31303 0.06979 0.60615 0.16086
0.76791 0.08628 0.19014 0.18766 0.26839 0.06076 0.51404 0.14059
0.99185 0.06653 0.15806 0.15673 0.22204 0.05089 0.41800 0.11827
1.17977 0.05426 0.13621 0.13625 0.19136 0.04409 0.35452 0.10280
1.40407 0.04310 0.11471 0.11642 0.16171 0.03731 0.29358 0.08733
1.66967 0.03327 0.09416 0.09766 0.13382 0.03078 0.23688 0.07233
1.81952 0.02891 0.08444 0.08879 0.12072 0.02767 0.21058 0.06515
1.98156 0.02493 0.07517 0.08032 0.10828 0.02468 0.18585 0.05826
2.54689 0.01523 0.05063 0.05759 0.07538 0.01672 0.12204 0.03977
2.99541 0.01052 0.03733 0.04484 0.05739 0.01237 0.08856 0.02959
3.50590 0.00702 0.02658 0.03410 0.04257 0.00883 0.06213 0.02125
4.08156 0.00453 0.01825 0.02528 0.03076 0.00607 0.04209 0.01471
6.21632 0.00099 0.00472 0.00883 0.00993 0.00157 0.01057 0.00390
7.97384 0.00030 0.00160 0.00385 0.00414 0.00053 0.00355 0.00135
9.96662 0.00008 0.00048 0.00154 0.00159 0.00016 0.00106 0.00042
15.00000 2.67e-06 2.19e-05 1.58e-04 1.49e-04 0.00001 0.00005 2.32e-05
20.77429 5.68e-08 6.46e-07 1.14e-05 1.02e-05 3.9e-07 0.00000 8.64e-07
25.39373 2.61e-09 3.86e-08 1.39e-06 1.19e-06 3.0e-08 0.00000 6.21e-08
#1e10     0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
