#         Kn        topT         topU     bottomT     bottomU
2.511900e-03 5.22858e-01 -1.17028e-01 4.99272e-01 1.82421e-01
2.928600e-03 5.22537e-01 -1.16289e-01 4.99151e-01 1.80410e-01
3.414500e-03 5.22161e-01 -1.15426e-01 4.99010e-01 1.78065e-01
3.981100e-03 5.21726e-01 -1.14420e-01 4.98846e-01 1.75330e-01
4.641600e-03 5.21220e-01 -1.13247e-01 4.98654e-01 1.72142e-01
5.411700e-03 5.20633e-01 -1.11880e-01 4.98431e-01 1.68425e-01
6.309600e-03 5.19951e-01 -1.10287e-01 4.98170e-01 1.64091e-01
7.356400e-03 5.19161e-01 -1.08429e-01 4.97867e-01 1.59039e-01
8.577000e-03 5.18245e-01 -1.06263e-01 4.97512e-01 1.53148e-01
1.000000e-02 5.17188e-01 -1.03739e-01 4.97100e-01 1.46279e-01
1.165910e-02 5.15966e-01 -1.00797e-01 4.96619e-01 1.38272e-01
1.359360e-02 5.14559e-01 -9.73668e-02 4.96058e-01 1.28935e-01
1.584890e-02 5.12940e-01 -9.33694e-02 4.95403e-01 1.18050e-01
1.847850e-02 5.11083e-01 -8.87103e-02 4.94641e-01 1.05358e-01
2.154430e-02 5.08959e-01 -8.32810e-02 4.93752e-01 9.05611e-02
2.511890e-02 5.06541e-01 -7.69553e-02 4.92715e-01 7.33082e-02
2.928640e-02 5.03801e-01 -6.95896e-02 4.91506e-01 5.31938e-02
3.414550e-02 5.00720e-01 -6.10215e-02 4.90097e-01 2.97413e-02
3.981070e-02 4.97285e-01 -5.10725e-02 4.88453e-01 2.39827e-03
4.641590e-02 4.93503e-01 -3.95426e-02 4.86538e-01 -2.94817e-02
5.411700e-02 4.89408e-01 -2.62027e-02 4.84304e-01 -6.66511e-02
6.309570e-02 4.85082e-01 -1.07722e-02 4.81700e-01 -1.09987e-01
7.356420e-02 4.80674e-01 7.12010e-03 4.78664e-01 -1.60513e-01
8.576960e-02 4.76428e-01 2.80017e-02 4.75124e-01 -2.19422e-01
1.000000e-01 4.72735e-01 5.26298e-02 4.70997e-01 -2.88105e-01
