#         Kn        topT         topU     bottomT     bottomU
0.000000e+00 5.24825e-01 -1.21424e-01 5.00000e-01 1.96079e-01
2.500000e-03 5.24806e-01 -1.21245e-01 5.00305e-01 1.95865e-01
5.000000e-03 5.24818e-01 -1.21351e-01 5.00627e-01 1.95933e-01
7.500000e-03 5.24823e-01 -1.21391e-01 5.00935e-01 1.95999e-01
1.000000e-02 5.24825e-01 -1.21424e-01 5.01263e-01 1.96079e-01
1.250000e-02 5.24827e-01 -1.21438e-01 5.01579e-01 1.96145e-01
1.500000e-02 5.24828e-01 -1.21452e-01 5.01893e-01 1.96234e-01
1.750000e-02 5.24829e-01 -1.21476e-01 5.02199e-01 1.96293e-01
2.000000e-02 5.24831e-01 -1.21480e-01 5.02525e-01 1.96373e-01
2.250000e-02 5.24831e-01 -1.21488e-01 5.02833e-01 1.96455e-01
2.500000e-02 5.24833e-01 -1.21508e-01 5.03166e-01 1.96498e-01
2.750000e-02 5.24834e-01 -1.21516e-01 5.03469e-01 1.96574e-01
3.000000e-02 5.24837e-01 -1.21529e-01 5.03782e-01 1.96651e-01
3.250000e-02 5.24841e-01 -1.21549e-01 5.04103e-01 1.96725e-01
3.500000e-02 5.24846e-01 -1.21575e-01 5.04421e-01 1.96797e-01
3.750000e-02 5.24853e-01 -1.21614e-01 5.04735e-01 1.96870e-01
4.000000e-02 5.24865e-01 -1.21664e-01 5.05048e-01 1.96935e-01
4.250000e-02 5.24877e-01 -1.21730e-01 5.05360e-01 1.97006e-01
4.500000e-02 5.24892e-01 -1.21814e-01 5.05690e-01 1.97070e-01
4.750000e-02 5.24910e-01 -1.21918e-01 5.05991e-01 1.97138e-01
5.000000e-02 5.24932e-01 -1.22031e-01 5.06314e-01 1.97203e-01
5.250000e-02 5.24958e-01 -1.22181e-01 5.06612e-01 1.97265e-01
5.500000e-02 5.24988e-01 -1.22356e-01 5.06937e-01 1.97322e-01
5.750000e-02 5.25020e-01 -1.22543e-01 5.07256e-01 1.97475e-01
6.000000e-02 5.25058e-01 -1.22772e-01 5.07556e-01 1.97538e-01
6.250000e-02 5.25101e-01 -1.23030e-01 5.07892e-01 1.97599e-01
6.500000e-02 5.25149e-01 -1.23309e-01 5.08199e-01 1.97659e-01
6.750000e-02 5.25201e-01 -1.23621e-01 5.08498e-01 1.97714e-01
7.000000e-02 5.25259e-01 -1.23958e-01 5.08814e-01 1.97767e-01
