#         Kn        topT         topU     bottomT     bottomU
0.000000e+00 5.24756e-01 0.00000e+00 5.00000e-01 0.00000e+00
2.500000e-03 5.22344e-01 -2.58709e-04 4.99326e-01 4.15646e-04
5.000000e-03 5.20165e-01 -5.02046e-04 4.98724e-01 8.07453e-04
7.500000e-03 5.18191e-01 -7.31389e-04 4.98190e-01 1.17769e-03
1.000000e-02 5.16397e-01 -9.48016e-04 4.97719e-01 1.52812e-03
1.250000e-02 5.14765e-01 -1.15293e-03 4.97298e-01 1.86032e-03
1.500000e-02 5.13275e-01 -1.34700e-03 4.96924e-01 2.17561e-03
1.750000e-02 5.11914e-01 -1.53106e-03 4.96594e-01 2.47519e-03
2.000000e-02 5.10668e-01 -1.70589e-03 4.96298e-01 2.76018e-03
2.250000e-02 5.09526e-01 -1.87215e-03 4.96033e-01 3.03151e-03
2.500000e-02 5.08478e-01 -2.03026e-03 4.95806e-01 3.29004e-03
2.750000e-02 5.07516e-01 -2.18097e-03 4.95604e-01 3.53657e-03
3.000000e-02 5.06632e-01 -2.32479e-03 4.95419e-01 3.77194e-03
3.250000e-02 5.05818e-01 -2.46216e-03 4.95259e-01 3.99668e-03
3.500000e-02 5.05068e-01 -2.59344e-03 4.95118e-01 4.21162e-03
3.750000e-02 5.04378e-01 -2.71916e-03 4.94998e-01 4.41722e-03
4.000000e-02 5.03742e-01 -2.83974e-03 4.94881e-01 4.61405e-03
4.250000e-02 5.03155e-01 -2.95557e-03 4.94782e-01 4.80258e-03
4.500000e-02 5.02613e-01 -3.06707e-03 4.94709e-01 4.98347e-03
4.750000e-02 5.02113e-01 -3.17449e-03 4.94635e-01 5.15698e-03
5.000000e-02 5.01651e-01 -3.27819e-03 4.94568e-01 5.32360e-03
5.250000e-02 5.01225e-01 -3.37854e-03 4.94525e-01 5.48372e-03
5.500000e-02 5.00830e-01 -3.47581e-03 4.94485e-01 5.63755e-03
5.750000e-02 5.00465e-01 -3.57033e-03 4.94438e-01 5.78568e-03
6.000000e-02 5.00129e-01 -3.66235e-03 4.94420e-01 5.92819e-03
6.250000e-02 4.99817e-01 -3.75212e-03 4.94389e-01 6.06544e-03
6.500000e-02 4.99529e-01 -3.83980e-03 4.94377e-01 6.19792e-03
6.750000e-02 4.99263e-01 -3.92574e-03 4.94367e-01 6.32560e-03
7.000000e-02 4.99016e-01 -4.01003e-03 4.94359e-01 6.44855e-03
