#  Kn        topT         topU     bottomT     bottomU
0.005 5.18237e-01 -6.54352e-04 4.9854e-01 1.11912e-03
0.010 5.14963e-01 -1.17295e-03 4.97153e-01 1.99751e-03
0.020 5.10267e-01 -1.94129e-03 4.94814e-01 3.20999e-03
0.030 5.07661e-01 -2.42871e-03 4.93068e-01 3.89810e-03
0.040 5.06044e-01 -2.69849e-03 4.91812e-01 4.29205e-03
0.050 5.05107e-01 -2.81654e-03 4.90936e-01 4.44485e-03
0.060 5.04468e-01 -2.85350e-03 4.90325e-01 4.50098e-03
0.070 5.03960e-01 -2.80158e-03 4.89906e-01 4.45295e-03
0.080 5.03509e-01 -2.74079e-03 4.89658e-01 4.37108e-03
0.090 5.03088e-01 -2.64279e-03 4.89399e-01 4.25804e-03
0.100 5.02606e-01 -2.53460e-03 4.89244e-01 4.13140e-03
0.110 5.02187e-01 -2.42915e-03 4.89126e-01 4.00016e-03
0.120 5.01717e-01 -2.33356e-03 4.89045e-01 3.84971e-03
0.130 5.01274e-01 -2.22941e-03 4.88964e-01 3.71299e-03
