#         Kn        topT         topU     bottomT     bottomU
0.000000e+00 5.24756e-01 0.00000e+00 5.00000e-01 0.00000e+00
2.500000e-03 5.24788e-01 -2.68085e-04 5.00305e-01 4.31192e-04
5.000000e-03 5.24798e-01 -5.36561e-04 5.00627e-01 8.62275e-04
7.500000e-03 5.24802e-01 -8.04977e-04 5.00935e-01 1.29318e-03
1.000000e-02 5.24802e-01 -1.07339e-03 5.01263e-01 1.72399e-03
1.250000e-02 5.24804e-01 -1.34170e-03 5.01579e-01 2.15463e-03
1.500000e-02 5.24802e-01 -1.60991e-03 5.01897e-01 2.58508e-03
1.750000e-02 5.24802e-01 -1.87832e-03 5.02199e-01 3.01550e-03
2.000000e-02 5.24802e-01 -2.14639e-03 5.02523e-01 3.44563e-03
2.250000e-02 5.24801e-01 -2.41435e-03 5.02833e-01 3.87561e-03
2.500000e-02 5.24802e-01 -2.68278e-03 5.03166e-01 4.30584e-03
2.750000e-02 5.24802e-01 -2.95074e-03 5.03469e-01 4.73563e-03
3.000000e-02 5.24803e-01 -3.21877e-03 5.03782e-01 5.16531e-03
3.250000e-02 5.24804e-01 -3.48700e-03 5.04104e-01 5.59484e-03
3.500000e-02 5.24808e-01 -3.75539e-03 5.04422e-01 6.02420e-03
3.750000e-02 5.24814e-01 -4.02424e-03 5.04735e-01 6.45341e-03
4.000000e-02 5.24823e-01 -4.29361e-03 5.05045e-01 6.88246e-03
4.250000e-02 5.24834e-01 -4.56371e-03 5.05360e-01 7.31153e-03
4.500000e-02 5.24848e-01 -4.83483e-03 5.05694e-01 7.74039e-03
4.750000e-02 5.24865e-01 -5.10702e-03 5.05995e-01 8.16929e-03
5.000000e-02 5.24885e-01 -5.37996e-03 5.06314e-01 8.59796e-03
5.250000e-02 5.24910e-01 -5.65516e-03 5.06615e-01 9.02667e-03
5.500000e-02 5.24938e-01 -5.93216e-03 5.06942e-01 9.45502e-03
5.750000e-02 5.24968e-01 -6.20922e-03 5.07250e-01 9.88128e-03
6.000000e-02 5.25005e-01 -6.49032e-03 5.07556e-01 1.03094e-02
6.250000e-02 5.25046e-01 -6.77394e-03 5.07893e-01 1.07375e-02
6.500000e-02 5.25093e-01 -7.06032e-03 5.08206e-01 1.11658e-02
6.750000e-02 5.25144e-01 -7.34956e-03 5.08503e-01 1.15936e-02
7.000000e-02 5.25201e-01 -7.64164e-03 5.08819e-01 1.20213e-02
