#Powder diameter 15-45 um
#Hatching 180 um, length 4 mm
#Power (W)	Velocity (mm/s)	Width (um)
60	100	175
60	300	105
60	600	73
60	900	65
60	1200	58
60	1500	50
60	1800	46
60	2100	42
60	2400	38
60	2700	33
60	3000	30
90	100	220
90	300	140
90	600	110
90	900	80
90	1200	70
90	1500	60
90	1800	50
90	2100	45
90	2400	40
90	2700	40
90	3000	36
120	100	245
120	300	145
120	600	115
120	900	90
120	1200	78
120	1500	70
120	1800	55
120	2100	52
120	2400	52
120	2700	52
120	3000	50
150	100	270
150	300	165
150	600	135
150	900	110
150	1200	90
150	1500	80
150	1800	72
150	2100	68
150	2400	73
150	2700	70
150	3000	64
